category,strain,effect_1,effect_2,effect_3,effect_4,effect_5,medical_1,medical_2,medical_3,medical_4,medical_5,negative_1,negative_2,negative_3,negative_4,negative_5,flavor_1,flavor_2,flavor_3,review_total,parent_1,parent_2,parent_3,parent_4,parent_5,parent_6,parent_7
indica,prevention, creative, euphoric, happy, relaxed, focused , lack of appetite, depression, fatigue, headaches, inflammation , dry mouth ,,,,,1. earthy,2. sweet,3. flowery,4.0,romulan,blueberry,pre-98 bubba kush,n,n,n,n
indica,primus, happy, relaxed, uplifted, creative, tingly , stress, pain, insomnia, inflammation, muscle spasms , dry mouth, dry eyes, dizzy, anxious, paranoid ,1. tropical,2. violet,3. woody,103.0,trainwreck,303 og,n,n,n,n,n
sativa,princess, euphoric, relaxed, creative, happy, tingly , depression, nausea ,,,, dry mouth, paranoid ,,,,1. earthy,2. woody,3. flowery,3.0,jack herer,n,n,n,n,n,n
hybrid,princesss tiara, energetic, happy, talkative, giggly, uplifted , depression, stress, fatigue ,,, dry mouth ,,,,,1. earthy,2. sweet,,,cinderellas dream,headband,n,n,n,n,n
hybrid,professor chaos, uplifted, focused, energetic, euphoric, talkative , pain, fatigue, nausea, muscle spasms, stress , dry mouth, dry eyes, dizzy, headache ,,1. citrus,2. sweet,3. berry,35.0,jack the ripper,mad scientist,n,n,n,n,n
hybrid,project blue book, happy, uplifted, euphoric, focused, creative , pain, stress, depression, fatigue, muscle spasms , dry mouth, anxious, dry eyes ,,,1. sweet,2. berry,3. earthy,12.0,n,n,n,n,n,n,n
hybrid,project blue book, happy, uplifted, euphoric, focused, creative , pain, stress, depression, fatigue, muscle spasms , dry mouth, anxious, dry eyes ,,,1. sweet,2. berry,3. earthy,,n,n,n,n,n,n,n
indica,puna buddaz, uplifted, happy, euphoric, giggly, relaxed , stress, pain, lack of appetite, nausea, inflammation , anxious, dizzy, dry eyes, dry mouth ,,1. sweet,2. tropical,3. pungent,6.0,n,n,n,n,n,n,n
hybrid,puna budder, happy, uplifted, relaxed, euphoric, giggly , stress, nausea, pain, cramps, muscle spasms , dry eyes, dry mouth, anxious, headache ,,1. pine,2. sweet,3. butter,14.0,hawaiian,afghani,n,n,n,n,n
indica,punky lion, relaxed, happy, euphoric, sleepy, uplifted , stress, muscle spasms, depression, pain, inflammation , dry mouth, dry eyes, paranoid ,,,1. lime,2. earthy,3. sweet,27.0,chronic,n,n,n,n,n,n
hybrid,punxsy punch, relaxed, euphoric, happy, aroused, focused , fatigue, inflammation, pain, stress, cramps , dry mouth ,,,,,1. blueberry,,,13.0,fruity chronic juice,katsu bubba kush,n,n,n,n,n
hybrid,pura vida, happy, euphoric, relaxed, sleepy, uplifted , headaches, spasticity, cramps, depression, fatigue , dry eyes, dry mouth, headache ,,,1. flowery,2. citrus,3. grape,4.0,appalachia,n,n,n,n,n,n
indica,pure afghan, relaxed, sleepy, hungry, uplifted, tingly , stress, insomnia, lack of appetite, muscle spasms, fatigue , anxious, dizzy, dry mouth, dry eyes, headache ,1. earthy,2. woody,3. pungent,57.0,afghani,n,n,n,n,n,n
indica,pure kush, relaxed, sleepy, euphoric, happy, tingly , insomnia, stress, pain, depression, nausea , anxious, dizzy, dry mouth, dry eyes, paranoid ,1. earthy,2. pungent,3. skunk,310.0,og kush,n,n,n,n,n,n
indica,pure love, relaxed, happy, uplifted, euphoric, hungry , pain, stress, muscle spasms, depression, headaches , dry mouth, dry eyes ,,,,1. flowery,2. mango,3. grape,19.0,la confidential,n,n,n,n,n,n
indica,pure og, relaxed, happy, sleepy, uplifted, euphoric , pain, insomnia, inflammation, lack of appetite, depression , dry mouth, dry eyes, paranoid, dizzy, headache ,1. pine,2. sweet,3. lemon,78.0,og kush,n,n,n,n,n,n
hybrid,pure power plant, focused, happy, uplifted, creative, relaxed , stress, depression, fatigue, lack of appetite, nausea , dry mouth, headache, dry eyes, paranoid, dizzy ,1. earthy,2. pungent,3. skunk,237.0,african,north american indica,n,n,n,n,n
indica,purple afghani, relaxed, sleepy, happy, hungry, euphoric , stress, insomnia, pain, depression, nausea , paranoid, anxious, dry mouth, dry eyes, dizzy ,1. earthy,2. sweet,3. woody,92.0,purple kush,afghani,n,n,n,n,n
hybrid,purple alien og, euphoric, happy, giggly, hungry, focused , stress, insomnia, headaches, pain, depression , dizzy, dry mouth, dry eyes, paranoid, anxious ,1. earthy,2. flowery,3. sweet,126.0,tahoe og kush,alien kush,alien og,n,n,n,n
hybrid,purple alien og, euphoric, happy, giggly, hungry, focused , stress, insomnia, headaches, pain, depression , dizzy, dry mouth, dry eyes, paranoid, anxious ,1. earthy,2. flowery,3. sweet,,tahoe og kush,alien kush,alien og,n,n,n,n
hybrid,purple arrow, relaxed, focused, uplifted, euphoric, happy , pain, stress, depression, nausea, headaches , dry mouth, dry eyes, dizzy, headache, paranoid ,1. earthy,2. sweet,3. pungent,104.0,n,n,n,n,n,n,n
hybrid,purple aurora, focused, relaxed, happy, euphoric, aroused , muscle spasms, cramps, fatigue, headaches, inflammation , dizzy, anxious ,,,,1. berry,2. flowery,3. grape,4.0,purple kush,n,n,n,n,n,n
indica,purple berry, relaxed, happy, euphoric, hungry, focused , pain, insomnia, lack of appetite, muscle spasms, inflammation , dry mouth, dry eyes, dizzy, anxious, paranoid ,1. spicy/herbal,2. earthy,3. sweet,85.0,granddaddy purple,blueberry,n,n,n,n,n
indica,purple bubba, happy, euphoric, hungry, relaxed, talkative , stress, pain, fatigue, nausea, cramps , paranoid, dry eyes, dizzy, dry mouth, anxious ,1. berry,2. sweet,3. citrus,38.0,bubba kush,purple kush,n,n,n,n,n
indica,purple bud, sleepy, euphoric, giggly, happy, relaxed , muscle spasms, stress, pain, depression, lack of appetite , dizzy, dry mouth, dry eyes ,,,1. sweet,2. spicy/herbal,3. blueberry,23.0,afghani,jamaican,hindu skunk,purple kush,n,n,n
indica,purple buddha, relaxed, happy, euphoric, sleepy, giggly , stress, pain, depression, insomnia, headaches , dizzy, headache, dry mouth, dry eyes, paranoid ,1. berry,2. sweet,3. grape,49.0,mendocino purps,n,n,n,n,n,n
indica,purple bush, relaxed, creative, sleepy, euphoric, uplifted , stress, depression, insomnia, lack of appetite, pain , dry mouth, dry eyes ,,,,1. berry,2. sweet,3. flowery,14.0,n,n,n,n,n,n,n
indica,purple candy, happy, sleepy, relaxed, euphoric, uplifted , insomnia, stress, inflammation, pain, headaches , dry mouth, anxious, dizzy, paranoid, dry eyes ,1. grape,2. sweet,3. flowery,252.0,n,n,n,n,n,n,n
sativa,purple champagne, hungry, euphoric, tingly, relaxed, happy , stress, depression, pain, lack of appetite, headaches , dry mouth, anxious, paranoid, dry eyes, headache ,1. grape,2. berry,3. sweet,49.0,granddaddy purple,n,n,n,n,n,n
indica,purple cheddar, uplifted, relaxed, happy, euphoric, sleepy , pain, depression, inflammation, insomnia, stress , dry mouth, dry eyes, anxious, dizzy, headache ,1. flowery,2. earthy,3. grape,30.0,cheese,granddaddy purple,n,n,n,n,n
hybrid,purple cheese, happy, euphoric, sleepy, relaxed, uplifted , insomnia, eye pressure, pain, stress, depression , dry mouth, dry eyes, headache, dizzy, paranoid ,1. pungent,2. cheese,3. sweet,76.0,blue cheese,lowryder,n,n,n,n,n
indica,purple chemdawg, relaxed, euphoric, sleepy, happy, creative , stress, pain, depression, insomnia, nausea , dry mouth, dizzy, anxious, dry eyes, paranoid ,1. grape,2. earthy,3. pungent,143.0,chemdawg,granddaddy purple,n,n,n,n,n
indica,purple cotton candy, relaxed, happy, sleepy, uplifted, euphoric , insomnia, pain, stress, depression, lack of appetite , dry mouth, dry eyes, dizzy, anxious, headache ,1. sweet,2. grape,3. sage,35.0,granddaddy purple,cotton candy kush,n,n,n,n,n
sativa,purple cow, focused, relaxed, euphoric, uplifted ,, depression, stress, fatigue ,,,,,,,,1. flowery,2. berry,3. mango,,flo,dairy queen,n,n,n,n,n
hybrid,purple crack, happy, relaxed, aroused, uplifted, sleepy , depression, stress, pain, lack of appetite, headaches , dry mouth, dizzy, dry eyes, paranoid, headache ,1. sweet,2. earthy,3. citrus,84.0,green crack,blackwater,n,n,n,n,n
indica,purple cream, relaxed, sleepy, happy, euphoric, tingly , stress, pain, insomnia, depression, nausea , dry mouth, dry eyes, paranoid, dizzy, anxious ,1. pungent,2. sweet,3. earthy,81.0,n,n,n,n,n,n,n
hybrid,purple diesel, happy, uplifted, relaxed, euphoric, energetic , stress, pain, depression, nausea, fatigue , dry mouth, dry eyes, headache, anxious, dizzy ,1. diesel,2. sweet,3. grape,510.0,pre-98 bubba kush,sour diesel,n,n,n,n,n
hybrid,purple dog shit, happy, euphoric, energetic, focused, relaxed , lack of appetite, stress, depression, fatigue, inflammation , dry eyes, dry mouth, anxious, dizzy ,,1. berry,2. earthy,3. grape,19.0,dog shit,purple urkle,n,n,n,n,n
indica,purple dragon, euphoric, uplifted, happy, relaxed, creative , pain, depression, stress, lack of appetite, headaches , dry mouth, dry eyes, dizzy, anxious, paranoid ,1. grape,2. pine,3. blueberry,150.0,purple urkle,blue dragon,n,n,n,n,n
hybrid,purple dream, relaxed, happy, euphoric, focused, creative , stress, pain, depression, inflammation, insomnia , dry mouth, dry eyes, dizzy, headache, paranoid ,1. grape,2. sweet,3. earthy,260.0,blue dream,granddaddy purple,n,n,n,n,n
indica,purple elephant, relaxed, happy, focused, sleepy, uplifted , stress, insomnia, depression, headaches, pain , dry mouth, dry eyes, paranoid, anxious, dizzy ,1. earthy,2. flowery,3. citrus,109.0,n,n,n,n,n,n,n
hybrid,purple frost, sleepy, relaxed, talkative, happy, uplifted , depression, nausea, stress, eye pressure, insomnia , dry mouth, dry eyes ,,,,1. skunk,2. earthy,3. sweet,10.0,obama kush,skunk no 1,n,n,n,n,n
hybrid,purple glue, relaxed, euphoric, uplifted, sleepy, happy , depression, lack of appetite, pain ,,, dry mouth, dizzy, dry eyes ,,,1. earthy,2. grape,3. sweet,9.0,lvpk,original glue,n,n,n,n,n
hybrid,purple goat, happy, relaxed, hungry, sleepy, uplifted , stress, depression, insomnia, pain, fatigue ,,,,,,1. sweet,2. berry,3. earthy,4.0,trainwreck,blueberry skunk,n,n,n,n,n
indica,purple goo, relaxed, uplifted, sleepy, hungry, euphoric , stress, pain, depression, insomnia, lack of appetite , dry eyes, dry mouth, dizzy, headache, paranoid ,1. sweet,2. earthy,3. pungent,71.0,n,n,n,n,n,n,n
hybrid,purple gorilla, happy, relaxed, euphoric, hungry, uplifted , insomnia, pain, lack of appetite, stress, inflammation , dry mouth, dry eyes, dizzy, headache, anxious ,1. berry,2. sweet,3. grape,142.0,n,n,n,n,n,n,n
indica,purple happy rancher, relaxed, euphoric, happy, sleepy, uplifted , insomnia, stress, pain, lack of appetite, depression , dry mouth, dry eyes, anxious ,,,1. grape,2. flowery,3. berry,54.0,purple kush,happy rancher,n,n,n,n,n
hybrid,purple hashplant, euphoric, happy, uplifted, relaxed, focused , stress, lack of appetite, depression, pain, nausea , dry mouth, dry eyes, headache ,,,1. pungent,2. earthy,3. flowery,29.0,n,n,n,n,n,n,n
sativa,purple haze, happy, euphoric, uplifted, energetic, relaxed , stress, depression, pain, fatigue, insomnia , dry mouth, dry eyes, dizzy, paranoid, anxious ,1. flowery,2. earthy,3. sweet,1040.0,haze,purple thai,n,n,n,n,n
hybrid,purple headband, uplifted, relaxed, talkative, sleepy, happy , depression, stress, insomnia, pain, headaches , headache, dry mouth, dry eyes, anxious, dizzy ,1. berry,2. sweet,3. grape,39.0,headband,n,n,n,n,n,n
indica,purple hindu kush, relaxed, sleepy, euphoric, hungry, uplifted , pain, stress, insomnia, depression, lack of appetite , dry mouth, dry eyes, anxious, dizzy, paranoid ,1. grape,2. woody,3. berry,221.0,purple afghani,hindu kush,n,n,n,n,n
hybrid,purple ice, euphoric, happy, uplifted, hungry, energetic , stress, depression, pain, insomnia, lack of appetite , paranoid, dry mouth, anxious, dry eyes, dizzy ,1. berry,2. sweet,3. grape,42.0,n,n,n,n,n,n,n
hybrid,purple jack, relaxed, euphoric, uplifted, energetic, creative , fatigue, inflammation, stress, depression, pain , dry eyes, dry mouth, paranoid, dizzy, headache ,1. earthy,2. berry,3. tree fruit,43.0,purple kush,jack herer,n,n,n,n,n
indica,purple killer, hungry, relaxed, sleepy, euphoric, happy , insomnia, pain, stress, depression, lack of appetite , dry mouth, dizzy ,,,,1. tree fruit,2. sweet,3. earthy,6.0,purple urkle,purple kush,n,n,n,n,n
indica,purple kush, relaxed, happy, sleepy, euphoric, hungry , stress, pain, insomnia, depression, fatigue , dry mouth, dry eyes, dizzy, anxious, headache ,1. earthy,2. grape,3. berry,2087.0,hindu kush,purple afghani,n,n,n,n,n
indica,purple linda, relaxed, sleepy ,,,, insomnia, pain, stress ,,, dry eyes, dry mouth ,,,,,,,3.0,haze,purple urkle,n,n,n,n,n
indica,purple martian kush, relaxed, euphoric, sleepy, happy, giggly , stress, pain, insomnia, depression, nausea , dry mouth, dry eyes, headache, anxious, dizzy ,1. sweet,2. grape,3. berry,15.0,purple kush,blackberry kush,martian mean green,n,n,n,n
hybrid,purple maui, happy, uplifted, relaxed, tingly, talkative , depression, stress, pain, headaches, fatigue , dry mouth, anxious, dizzy, paranoid ,,1. sweet,2. grape,3. pine,15.0,n,n,n,n,n,n,n
indica,purple monkey balls, relaxed, sleepy, happy, giggly, hungry , stress, pain, depression, nausea, inflammation , paranoid, dry mouth, anxious, dry eyes, headache ,1. citrus,2. earthy,3. diesel,99.0,afghani,mendocino purps,n,n,n,n,n
indica,purple mr nice, relaxed, sleepy, euphoric, happy, uplifted , insomnia, pain, stress, fatigue, muscle spasms , dry eyes, dry mouth, headache, dizzy, paranoid ,1. earthy,2. grape,3. berry,149.0,granddaddy purple,mr nice,n,n,n,n,n
indica,purple nepal, euphoric, relaxed, happy, hungry, creative , depression, stress, lack of appetite, insomnia, pain , dry mouth, dry eyes, dizzy, headache, paranoid ,1. sweet,2. grape,3. pungent,65.0,n,n,n,n,n,n,n
indica,purple og kush, relaxed, happy, euphoric, sleepy, hungry , stress, pain, insomnia, depression, lack of appetite , dry mouth, dry eyes, anxious, paranoid, dizzy ,1. earthy,2. sweet,3. woody,359.0,og kush,purple kush,n,n,n,n,n
hybrid,purple pantera, euphoric, relaxed, sleepy ,,,,,,,,,,,,,,,,5.0,pink panther,grape krush,n,n,n,n,n
indica,purple panty dropper, euphoric, relaxed, sleepy, hungry, uplifted , pain, headaches, lack of appetite, stress, muscle spasms , dry eyes, dry mouth, anxious, paranoid, headache ,1. pungent,2. lavender,3. grape,53.0,purple haze,n,n,n,n,n,n
hybrid,purple paralysis, relaxed, happy, sleepy, hungry, uplifted , stress, pain, depression, lack of appetite, fatigue , dry mouth, anxious, dry eyes, headache, paranoid ,1. honey,2. sweet,3. lavender,33.0,power plant,lavender,n,n,n,n,n
indica,purple passion, sleepy, relaxed, happy, euphoric, uplifted , stress, pain, depression, lack of appetite, insomnia , dry mouth, dry eyes, headache, anxious, dizzy ,1. grape,2. pungent,3. earthy,63.0,n,n,n,n,n,n,n
indica,purple people eater, relaxed, sleepy, tingly, euphoric, focused , pain, insomnia, depression, stress, lack of appetite , dizzy, dry mouth ,,,,1. grape,2. berry,3. tropical,21.0,granddaddy purple,pure afghan,purple urkle,n,n,n,n
hybrid,purple pie, relaxed, hungry, euphoric, happy, sleepy , lack of appetite, stress, fatigue, headaches, inflammation , dry eyes, dry mouth ,,,,1. diesel,2. sweet,3. berry,4.0,uw,cherry pie,n,n,n,n,n
indica,purple pinecone, happy, relaxed, sleepy, hungry, giggly , stress, insomnia, lack of appetite ,,, dry eyes, anxious, dry mouth ,,,1. citrus,2. diesel,3. earthy,13.0,n,n,n,n,n,n,n
sativa,purple power, relaxed, tingly, happy, euphoric, focused , stress, pain, muscle spasms, fatigue, inflammation , dry mouth, dry eyes, headache, dizzy ,,1. berry,2. pungent,3. woody,20.0,skunk no 1,n,n,n,n,n,n
hybrid,purple prevention, relaxed, uplifted ,,,, eye pressure, insomnia, nausea, pain, stress , anxious, dizzy, paranoid ,,,,,,,romulan,blueberry,pre-98 bubba kush,n,n,n,n
hybrid,purple princess, euphoric, uplifted, happy, relaxed, talkative , stress, pain, insomnia, depression, fatigue , dry mouth, dry eyes, paranoid, dizzy, anxious ,1. berry,2. sweet,3. pungent,78.0,n,n,n,n,n,n,n
indica,purple punch, relaxed, happy, euphoric, sleepy, uplifted , stress, pain, depression, insomnia, headaches , dry mouth, dry eyes, dizzy, headache, paranoid ,1. grape,2. berry,3. sweet,575.0,larry og,granddaddy purple,n,n,n,n,n
hybrid,purple raine, euphoric, happy, relaxed, uplifted, focused , depression, insomnia, stress, nausea, inflammation , dry eyes, dry mouth, anxious, dizzy, headache ,1. sweet,2. grape,3. berry,26.0,og kush,chemdawg,n,n,n,n,n
hybrid,purple rhino, relaxed, hungry, sleepy, happy, uplifted , cramps, stress, pain, insomnia, lack of appetite , dry eyes, dizzy, dry mouth, headache, anxious ,1. sweet,2. skunk,3. berry,32.0,mendocino purps,white rhino,n,n,n,n,n
hybrid,purple sage , euphoric, uplifted, creative, happy, relaxed , pain, stress, depression, fatigue, insomnia , dry mouth, dry eyes ,,,,1. sage,2. lemon,3. sweet,,sage,n,n,n,n,n,n
hybrid,purple skunk, happy, relaxed, euphoric, focused, energetic , stress, depression, insomnia, pain, lack of appetite , dry mouth, dry eyes, dizzy, paranoid, headache ,1. skunk,2. earthy,3. pine,92.0,skunk no 1,n,n,n,n,n,n
hybrid,purple sour diesel, happy, euphoric, relaxed, uplifted, creative , stress, pain, depression, insomnia, fatigue , dry mouth, dry eyes, headache, paranoid, dizzy ,1. diesel,2. grape,3. pungent,253.0,purple kush,sour diesel,n,n,n,n,n
indica,purple star, focused, relaxed, happy, creative, tingly , pain, insomnia, stress, depression, inflammation , dry eyes, dry mouth, anxious, dizzy ,,1. berry,2. grape,3. earthy,30.0,n,n,n,n,n,n,n
indica,purple swish, relaxed, euphoric, giggly, happy, hungry , cramps, depression, inflammation, insomnia, lack of appetite , dry mouth ,,,,,1. berry,2. earthy,3. pungent,5.0,purple urkle,rare dankness 1,n,n,n,n,n
sativa,purple tangie, uplifted, happy, euphoric, relaxed, tingly , pain, muscle spasms, depression, fatigue, stress , dry eyes, dry mouth, dizzy, headache, anxious ,1. citrus,2. grape,3. sweet,47.0,tangie,n,n,n,n,n,n
hybrid,purple tears, happy, hungry, relaxed, tingly, sleepy , depression, headaches, insomnia, lack of appetite, nausea , dry mouth, anxious, dry eyes ,,,1. berry,2. diesel,3. earthy,,querkle,delahaze,n,n,n,n,n
sativa,purple thai, happy, uplifted, euphoric, talkative, relaxed , depression, stress, pain, fatigue, headaches , dry eyes, dry mouth, headache ,,,1. lemon,2. flowery,3. woody,40.0,mexican,chocolate thai,n,n,n,n,n
indica,purple tonic, happy, euphoric, relaxed, sleepy, uplifted , stress, depression, insomnia, pain ,, dry mouth, dry eyes ,,,,1. blueberry,2. nutty,3. tree fruit,6.0,n,n,n,n,n,n,n
hybrid,purple trainwreck, relaxed, happy, euphoric, uplifted, talkative , stress, pain, depression, muscle spasms, fatigue , dry mouth, dizzy, dry eyes, paranoid, anxious ,1. berry,2. sweet,3. grape,617.0,trainwreck,mendocino purps,n,n,n,n,n
indica,purple urkle, relaxed, sleepy, happy, euphoric, hungry , stress, insomnia, pain, depression, lack of appetite , dry mouth, dry eyes, dizzy, paranoid, headache ,1. grape,2. berry,3. earthy,1179.0,mendocino purps,n,n,n,n,n,n
hybrid,purple voodoo, relaxed, euphoric, happy, energetic, focused , pain, depression, stress, eye pressure, lack of appetite , dry mouth, dry eyes, anxious, paranoid, dizzy ,1. sweet,2. pungent,3. earthy,90.0,double purple doja,purple urkle,purple diesel,n,n,n,n
hybrid,purple widow, relaxed, euphoric, creative, sleepy, happy , stress, depression, fatigue, spasticity, pain , dry mouth, dry eyes, anxious, dizzy ,,1. woody,2. sweet,3. berry,31.0,white widow,n,n,n,n,n,n
indica,purple wreck, relaxed, euphoric, sleepy, uplifted, hungry , stress, depression, insomnia, pain, nausea , dry mouth, dry eyes, dizzy, paranoid, anxious ,1. grape,2. berry,3. sweet,166.0,purple urkle,trainwreck,n,n,n,n,n
indica,pvc og, focused, tingly, energetic, euphoric, giggly , muscle spasms, pain, stress ,,, dry mouth ,,,,,,,,,n,n,n,n,n,n,n
sativa,q3, happy, uplifted, euphoric, tingly, giggly , pain, stress, depression, insomnia ,, dry eyes, dry mouth ,,,,1. tree fruit,2. orange,3. citrus,,n,n,n,n,n,n,n
hybrid,qleaner, energetic, happy, uplifted, euphoric, relaxed , depression, headaches, pain, stress, nausea , dry mouth, anxious, dry eyes, dizzy, headache ,1. ammonia,2. tar,3. citrus,36.0,jacks cleaner,querkle,n,n,n,n,n
hybrid,qrazy train, relaxed, happy, euphoric, hungry, sleepy , pain, stress, depression, insomnia, seizures , dry mouth, dry eyes, dizzy, headache, anxious ,1. sweet,2. skunk,3. lemon,167.0,trainwreck,trinity,purple urkle,space queen,n,n,n
hybrid,quad dawg, creative, euphoric, aroused, energetic, happy ,,,,,,,,,,,1. lemon,,,2.0,chem 4,white dawg fire go,n,n,n,n,n
sativa,quantum kush, euphoric, relaxed, happy, uplifted, creative , stress, depression, pain, headaches, inflammation , dry mouth, dry eyes, dizzy, anxious, paranoid ,1. earthy,2. pine,3. lemon,245.0,timewreck,n,n,n,n,n,n
hybrid,quebec gold, happy, relaxed, uplifted, euphoric, hungry , depression, stress, lack of appetite, pain, fatigue , dry mouth, dry eyes, anxious, dizzy ,,1. citrus,2. lemon,3. pine,16.0,m-39,freezeland,n,n,n,n,n
indica,queen mother goji, euphoric, relaxed, happy, uplifted, focused , fatigue, insomnia, depression, eye pressure, nausea , dry mouth, dizzy, anxious, dry eyes, headache ,1. berry,2. woody,3. earthy,10.0,snow lotus,n,n,n,n,n,n
hybrid,queens panties, happy, relaxed, focused, talkative, uplifted , eye pressure, stress, cramps, depression, fatigue , dry eyes, dry mouth, anxious, paranoid ,,1. sweet,2. berry,3. blueberry,7.0,dream queen,purple panty dropper,n,n,n,n,n
indica,querkle, relaxed, happy, sleepy, focused, uplifted , pain, inflammation, stress, nausea, headaches , dry mouth, dry eyes, dizzy, anxious, headache ,1. earthy,2. woody,3. coffee,233.0,purple urkle,space queen,n,n,n,n,n
indica,querkle, relaxed, happy, sleepy, focused, uplifted , pain, inflammation, stress, nausea, headaches , dry mouth, dry eyes, dizzy, anxious, headache ,1. earthy,2. woody,3. coffee,,purple urkle,space queen,n,n,n,n,n
indica,qush, relaxed, happy, uplifted, energetic, sleepy , stress, pain, depression, insomnia, lack of appetite , dry mouth, dizzy, dry eyes ,,,1. sweet,2. flowery,3. earthy,12.0,pre-98 bubba kush,space queen,n,n,n,n,n
hybrid,race fuel og, relaxed, euphoric, happy, focused, uplifted , stress, pain, depression, nausea, muscle spasms , dry mouth, dry eyes ,,,,1. diesel,2. earthy,3. pine,35.0,og kush,face off og,n,n,n,n,n
hybrid,rainbow, happy, focused, relaxed, uplifted, energetic , stress, depression, pain, insomnia, nausea , dry mouth, dizzy, paranoid, headache, dry eyes ,1. sweet,2. tropical,3. citrus,117.0,blueberry,dancehall,n,n,n,n,n
indica,rainbow jones, relaxed, happy, euphoric, sleepy, aroused , lack of appetite, fatigue, depression, stress, headaches ,,,,,,1. spicy/herbal,2. grape,3. blueberry,16.0,casey jones,granddaddy purple,n,n,n,n,n
hybrid,raindance, relaxed, happy, sleepy, energetic, uplifted , depression, stress, pain, nausea, insomnia , dry mouth, dry eyes, anxious, dizzy ,,1. earthy,2. woody,3. lemon,28.0,deadhead og,chemdawg 4,chemdawg,n,n,n,n
hybrid,ramses, energetic, euphoric, focused, happy, relaxed , fatigue, lack of appetite ,,,, dry eyes ,,,,,1. flowery,2. spicy/herbal,3. sweet,1.0,amnesia haze,n,n,n,n,n,n
indica,rare dankness 1, relaxed, giggly, sleepy, hungry, tingly , pain, muscle spasms, stress, inflammation, depression , dry mouth, dry eyes, dizzy, paranoid, anxious ,1. berry,2. pungent,3. earthy,22.0,ghost og,chemdawg,triangle kush,n,n,n,n
indica,rare darkness, euphoric, relaxed, happy, sleepy, tingly , pain, stress, depression, insomnia, cramps , dry mouth, dry eyes, anxious, headache, dizzy ,1. earthy,2. sweet,3. flowery,129.0,grape ape,rare dankness 1,n,n,n,n,n
hybrid,raskal og, uplifted, happy, energetic, relaxed, focused , stress, depression, pain, headaches, inflammation , dry mouth, dizzy, paranoid, dry eyes, headache ,1. sweet,2. pine,3. earthy,119.0,og kush,sfv og kush,n,n,n,n,n
sativa,raspberry cough, happy, uplifted, energetic, focused, creative , depression, pain, fatigue, stress, muscle spasms , dry mouth, headache, anxious, dizzy, dry eyes ,1. berry,2. sweet,3. strawberry,110.0,ice,cambodian,n,n,n,n,n
hybrid,raspberry diesel, creative, happy, energetic, euphoric, focused , headaches, stress, depression, eye pressure, inflammation , dry eyes, anxious, dizzy, dry mouth ,,1. berry,2. diesel,3. flowery,4.0,sour diesel,n,n,n,n,n,n
indica,raspberry kush, relaxed, euphoric, happy, focused, sleepy , stress, depression, pain, insomnia, lack of appetite , dry mouth, dry eyes, dizzy, paranoid, headache ,1. berry,2. earthy,3. spicy/herbal,359.0,n,n,n,n,n,n,n
hybrid,raw diesel, relaxed, euphoric, creative, energetic, happy , pain, stress, depression, headaches, nausea , dry mouth, dizzy, dry eyes ,,,1. earthy,2. diesel,3. woody,12.0,nyc diesel,g13 haze,n,n,n,n,n
indica,ray charles, relaxed, sleepy, euphoric, happy, tingly , pain, insomnia, depression, stress, inflammation , headache, dry eyes, anxious, dry mouth ,,1. earthy,2. pine,3. diesel,47.0,n,n,n,n,n,n,n
hybrid,rebel berry og, happy, uplifted, euphoric, relaxed, aroused , depression, cramps, headaches, stress, pain , anxious, dry eyes, dry mouth ,,,1. blueberry,2. berry,3. cheese,9.0,blueberry cheesecake,og kush,n,n,n,n,n
sativa,rebel god smoke, uplifted, happy, relaxed, energetic, giggly , depression, stress ,,,, dry eyes, dry mouth ,,,,1. citrus,2. earthy,3. grapefruit,,cinderella 99,n,n,n,n,n,n
sativa,rebel tangie kandy, energetic, euphoric, happy ,,,,,,,,,,,,,1. citrus,,,1.0,tangie,kandy kush,n,n,n,n,n
indica,reclining buddha, happy, relaxed, uplifted, euphoric, giggly , stress, headaches, depression, insomnia, pain , dry mouth, dry eyes, paranoid ,,,1. citrus,2. flowery,3. berry,13.0,super skunk,hollands hope,n,n,n,n,n
indica,recon, euphoric, relaxed, happy, uplifted, sleepy , stress, lack of appetite, pain, insomnia, nausea , dry mouth, dizzy, paranoid, dry eyes, anxious ,1. sweet,2. earthy,3. pungent,104.0,la confidential,cannadential,n,n,n,n,n
hybrid,red cherry berry, euphoric, relaxed, happy, uplifted, tingly , stress, depression, pain, headaches, lack of appetite , dry mouth, dry eyes, dizzy, headache ,,1. berry,2. earthy,3. sweet,34.0,skunk no 1,north american indica,n,n,n,n,n
sativa,red congolese, energetic, focused, uplifted, euphoric, creative , depression, stress, fatigue, headaches, pain , dry eyes, dry mouth, paranoid, anxious, headache ,1. spicy/herbal,2. earthy,3. woody,213.0,african,mexican,afghani,n,n,n,n
hybrid,red diesel, happy, relaxed, uplifted, tingly, euphoric , stress, lack of appetite, muscle spasms, depression, pain , dry mouth, paranoid, dry eyes, anxious, dizzy ,1. woody,2. earthy,3. sweet,73.0,nyc diesel,california orange,n,n,n,n,n
hybrid,red dragon, happy, giggly, euphoric, uplifted, talkative , stress, depression, pain, lack of appetite, insomnia , paranoid, dry mouth, anxious, dry eyes, dizzy ,1. sweet,2. earthy,3. tropical,333.0,south american,afghani,n,n,n,n,n
