,strain,review_total
735,cherry thunder fuck,33.0
736,cherry og,142.0
737,cherry pie,1734.0
738,cherry pie kush,19.0
739,cherry sauce,2.0
740,cherry sherbet,32.0
741,cherry skunk,70.0
742,cherry slyder,
743,cherry thunder fuck,33.0
744,cherry vanilla cookies,4.0
745,cherry wine,10.0
746,chicle,4.0
747,chiesel,220.0
748,china yunnan,9.0
749,chiquita banana,40.0
750,chloe,34.0
751,chocoholic,
752,chocolate cheesecake,2.0
753,chocolate chunk,193.0
754,chocolate diesel,55.0
755,chocolate drop,2.0
756,chocolate fondue,48.0
757,chocolate glue,10.0
758,chocolate hashberry,98.0
759,chocolate kush,72.0
760,chocolate lava,1.0
761,chocolate meringue,
762,chocolate mint og,12.0
763,chocolate og,24.0
764,chocolate rain,4.0
765,chocolate sap,
766,chocolate skunk,5.0
767,chocolate thai,112.0
768,chocolate thunder,11.0
769,chocolate tonic,1.0
770,chocolony,1.0
771,chocolony,
772,chocolope kush,137.0
773,chong star,25.0
774,chronic,173.0
775,chronic thunder,81.0
776,chuck og,4.0
777,chuckys bride,7.0
778,chunky diesel,52.0
779,chupacabra,23.0
780,church og,114.0
781,cinderella 99,1017.0
782,cinderellas dream,100.0
783,cindy haze,
784,cindy white,52.0
785,cinex,880.0
786,cirrus,
787,citradelic sunset,5.0
788,citral glue,15.0
789,citral skunk,5.0
790,citrix,85.0
791,citrus kush,76.0
792,cindy white,52.0
793,cinex,880.0
794,cirrus,
795,citradelic sunset,5.0
796,citral glue,15.0
797,citral skunk,5.0
798,citrix,85.0
799,citrus kush,76.0
800,citrus punch,23.0
801,citrus rush,4.0
802,citrus sap,126.0
803,citrus sunshine haze,29.0
804,city of god,2.0
805,clementine,304.0
806,clementine kush,25.0
807,clementines terpentine,2.0
808,clockwork orange,3.0
809,cloud 9,52.0
810,cloudcap,3.0
811,club 69,
812,cluster bomb,11.0
813,cluster funk,1.0
814,cobbler,1.0
815,cobra lips,1.0
816,cocoa kush,
817,coconut oil,6.0
818,cold creek kush,70.0
819,colin og s1,2.0
820,collie man kush,
821,colombian gold,161.0
822,colombian mojito,14.0
823,colorado bubba,10.0
824,colorado chem,26.0
825,colorado chem rbx3,
826,colorado clementines,11.0
827,comfortably dumb,1.0
828,commerce city kush,23.0
829,concord cream,1.0
830,concord grape blockhead,
831,confidential cheese,137.0
832,confidential cookies,
833,confidential wreck,
834,congo,17.0
835,connie chung,72.0
836,conspiracy kush,143.0
837,cookie breath,18.0
838,cookie dough,59.0
839,cookie jar,15.0
840,cookie monster,150.0
841,cookie puss,7.0
842,cookie wreck,108.0
843,cookie wreck,
844,cookie wreck,
845,cookies and dream,49.0
846,copper kush,9.0
847,corleone kush,114.0
848,cookie monster,150.0
849,cookie puss,7.0
850,cookie wreck,108.0
851,cookie wreck,
852,cookie wreck,
853,cookies and dream,49.0
854,copper kush,9.0
855,corleone kush,114.0
856,corleone kush   the don cut,5.0
857,cornbread,127.0
858,cosmic collision,14.0
859,cotton candy kush,825.0
860,cotton purple chem,
861,cougar milk,1.0
862,cowboy kush,25.0
863,coyote art,1.0
864,cracker jack,99.0
865,crater lake,31.0
866,crazy miss hyde,
867,cream caramel,98.0
868,crimea blue,28.0
869,critical 47,20.0
870,critical bilbo,73.0
871,critical cheese,50.0
872,critical haze,77.0
873,critical hog,64.0
874,critical jack,159.0
875,critical kali mist,17.0
876,critical kush,628.0
877,critical mass,777.0
878,critical plus,169.0
879,critical plus 20,17.0
880,critical sensi star,95.0
881,critical skunk,15.0
882,critical widow,34.0
883,critters cookies,5.0
884,crocketts haze,5.0
885,cronuts,13.0
886,crosswalker,9.0
887,crouching tiger hidden alien,19.0
888,crown og,46.0
889,crown royale,30.0
890,crumbled lime,2.0
891,crunch berry kush,43.0
892,crypt,19.0
893,crystal coma,120.0
894,crystal gayle,7.0
895,crystalberry,5.0
896,cuvee,50.0
897,cypress og,4.0
898,dj andy williams,
899,dj short blueberry,272.0
900,dj smoke,3.0
901,dagwood,
902,dairy queen,186.0
903,dakini kush,21.0
904,cuvee,50.0
905,cypress og,4.0
906,dj andy williams,
907,dj short blueberry,272.0
908,dj smoke,3.0
909,dagwood,
910,dairy queen,186.0
911,dakini kush,21.0
912,damn sour,
913,damnesia,12.0
914,dance world,34.0
915,dancehall,50.0
916,dank schrader,38.0
917,dank sinatra,11.0
918,double d,43.0
919,dark blue dream,61.0
920,dark shadow haze,4.0
921,dark side of the moon,56.0
922,dark star,253.0
923,darkside og,12.0
924,darth vader og,161.0
925,dawgs waltz,50.0
926,dawgfather og,9.0
927,day tripper,22.0
928,daywalker,1.0
929,dedutch,
930,deadhead og,504.0
931,deadlights,9.0
932,deadwood,9.0
933,death bubba,320.0
934,death by cake og,3.0
935,death star,1269.0
936,deathstar og,194.0
937,dedoverde haze,1.0
938,deep breath,
939,deep cheese,
940,deep chunk,14.0
941,deep purple,84.0
942,deep sleep,66.0
943,delahaze,94.0
944,denver maple,16.0
945,destar bx,1.0
946,desert diesel,2.0
947,desert star,
948,designer og,1.0
949,destroyer,9.0
950,devil fruit,22.0
951,devils tit,15.0
952,diabla,
953,diablo,301.0
954,diamond og,373.0
955,diamond socks,3.0
956,diamond valley kush,8.0
957,diesel dough,13.0
958,diesel duff,
959,diesel glue,3.0
960,diabla,
961,diablo,301.0
962,diamond og,373.0
963,diamond socks,3.0
964,diamond valley kush,8.0
965,diesel dough,13.0
966,diesel duff,
967,diesel glue,3.0
968,dieseltonic,19.0
969,digweed,21.0
970,dinachem,11.0
971,dirt nap,
972,dirty girl,168.0
973,dirty old bastard,6.0
974,dirty widow,
975,disney blue,11.0
976,divina obscura,
977,dizzy og,15.0
978,django,11.0
979,do over og,
980,do si dos,491.0
981,doc holliday,2.0
982,doctor doctor,6.0
983,doctor jamaica,
984,dog face,
985,dog shit,43.0
986,dogwalker og,245.0
987,dolla sign og kush,
988,domino,
989,don carlos,4.0
990,don shula,7.0
991,dons ghost,2.0
992,donegal,52.0
993,donkey butter,27.0
994,donna og,81.0
995,doobiebird daydream,11.0
996,doox 9e52aaec47524b6088792c10b9d341d0,
997,doox,5.0
998,dopium,
999,dorit,
1000,dosi woah r1,
1001,double barrel og,
1002,double diesel,38.0
1003,double dream,333.0
1004,double dutch,19.0
1005,double lemon pie,
1006,double mint,6.0
1007,double og,28.0
1008,double purple doja,23.0
1009,double tangie banana,109.0
1010,double tap,4.0
1011,dougs varin,19.0
1012,dr bubbles,
1013,dr clemenstein,
1014,dr feelgood,8.0
1015,dr funk,41.0
1016,double purple doja,23.0
1017,double tangie banana,109.0
1018,double tap,4.0
1019,dougs varin,19.0
1020,dr bubbles,
1021,dr clemenstein,
1022,dr feelgood,8.0
1023,dr funk,41.0
1024,dr greenthumbs em dog,3.0
1025,dr grinspoon,66.0
1026,dr quantum,
1027,dr who,447.0
1028,dragon fruit,6.0
1029,dragon og,26.0
1030,dragon og,
1031,dragon punch,2.0
1032,dragons breath,94.0
1033,dreadlock,3.0
1034,dream beaver,51.0
1035,dream berry,38.0
1036,dream girl,6.0
1037,dream lotus,44.0
1038,dream machine,5.0
1039,dream police,
1040,dream queen,332.0
1041,dream star,42.0
1042,dreamcatcher,28.0
1043,dreamers glass,
1044,drizella,
1045,duct tape,41.0
1046,duke nukem,75.0
1047,durban berry,28.0
1048,durban cheese,24.0
1049,durban cookies,65.0
1050,durban poison,2928.0
1051,durban princess,7.0
1052,durga mata,15.0
1053,dutch 47,2.0
1054,dutch crunch,9.0
1055,dutch dragon,98.0
1056,dutch dynasty,
1057,dutch hawaiian f26d85d8964844c0a3e447bceefefa9f,
1058,dutch hawaiian,146.0
1059,dutch haze,11.0
1060,dutch kush,11.0
1061,dutch queen,22.0
1062,dutch thunder fuck,14.0
1063,dutch treat,972.0
1064,dutch treat haze,56.0
1065,dutchberry,100.0
1066,dynamite,97.0
1067,eagle bill,1.0
1068,early girl,69.0
1069,early glue rbx1,2.0
1070,early miss,8.0
1071,early pearl,12.0
1072,dutch treat haze,56.0
1073,dutchberry,100.0
1074,dynamite,97.0
1075,eagle bill,1.0
1076,early girl,69.0
1077,early glue rbx1,2.0
1078,early miss,8.0
1079,early pearl,12.0
1080,early skunk,17.0
1081,earth og,54.0
1082,earthquake,19.0
1083,earthshaker og,9.0
1084,east coast alien,15.0
1085,east coast sour diesel,216.0
1086,eastern european,
1087,easy bud,4.0
1088,easy peezy,4.0
1089,ebola 7,
1090,ecto cooler,32.0
1091,ed rosenthal super bud,62.0
1092,edelweiss,37.0
1093,egyptian musk,
1094,egyptian royalty 1,
1095,el chapo,2.0
1096,el chapo og,61.0
1097,el jeffe,76.0
1098,el nino,32.0
1099,el perro,9.0
1100,el na,
1101,elderberry kush,27.0
1102,electric black mamba,6.0
1103,electric kool aid,26.0
1104,electric lemon g,51.0
1105,electric lemonade,15.0
1106,elektra,7.0
1107,elephant,18.0
1108,elevated og,2.0
1109,elmers glue,45.0
1110,elphinstone,6.0
