,strain,effect_1,effect_2,effect_3,effect_4,effect_5
410,blue mystic, relaxed, euphoric, uplifted, happy, aroused 
411,blue nightmare, happy, relaxed, giggly, hungry, euphoric 
412,blue nina, euphoric, talkative, happy, uplifted, tingly 
413,blue og, relaxed, happy, uplifted, focused, euphoric 
414,blue og sherbert, creative, energetic, talkative, uplifted, aroused 
415,blue ox, sleepy, relaxed, happy, hungry, creative 
416,blue persuasion, relaxed, hungry, euphoric, happy, tingly 
417,blue power, relaxed, euphoric, sleepy, creative, happy 
418,blue raspberry snow cone, creative, happy, tingly, aroused, talkative 
419,blue rhino, euphoric, happy, energetic, relaxed, uplifted 
420,blue satellite, happy, uplifted, euphoric, creative, talkative 
421,blue sherbert, euphoric, happy, relaxed, uplifted, creative 
422,blue sky, happy, euphoric, relaxed, creative, uplifted 
423,blue steel, relaxed, euphoric, happy, uplifted, sleepy 
424,blue power, relaxed, euphoric, sleepy, creative, happy 
425,blue raspberry snow cone, creative, happy, tingly, aroused, talkative 
426,blue rhino, euphoric, happy, energetic, relaxed, uplifted 
427,blue satellite, happy, uplifted, euphoric, creative, talkative 
428,blue sherbert, euphoric, happy, relaxed, uplifted, creative 
429,blue sky, happy, euphoric, relaxed, creative, uplifted 
430,blue steel, relaxed, euphoric, happy, uplifted, sleepy 
431,blue thai, relaxed, happy, uplifted, energetic, euphoric 
432,blue train, euphoric, relaxed, aroused, hungry, energetic 
433,blue treat, relaxed, uplifted, happy, focused, hungry 
434,blue velvet, creative, uplifted, energetic, focused, happy 
435,blue venom, relaxed, happy, euphoric, creative, uplifted 
436,blue widow, relaxed, happy, uplifted, focused, hungry 
437,blue wolf, euphoric, talkative, focused, uplifted, creative 
438,blue wonder, happy, uplifted, euphoric, focused, relaxed 
439,blue wreck, sleepy, happy, euphoric, hungry, giggly 
440,blue zkittlez, relaxed, sleepy, happy, hungry, uplifted 
441,blue zombie, relaxed, happy, hungry, euphoric, sleepy 
442,blueberry, relaxed, happy, euphoric, sleepy, uplifted 
443,blueberry ak, relaxed, happy, euphoric, hungry, energetic 
444,blueberry blast, talkative, focused, hungry, happy, energetic 
445,blueberry bomb, relaxed, euphoric, happy, tingly, uplifted 
446,blueberry diesel, happy, relaxed, euphoric, hungry, giggly 
447,blueberry dream, relaxed, focused, creative, euphoric, tingly 
448,blueberry essence, relaxed, happy, uplifted, euphoric, sleepy 
449,blueberry hashplant, creative, focused, happy, uplifted, energetic 
450,blueberry haze, euphoric, giggly, happy, relaxed, energetic 
451,blueberry headband, relaxed, happy, euphoric, uplifted, energetic 
452,blueberry jack, relaxed, hungry, uplifted, euphoric, tingly 
453,blueberry kush, relaxed, sleepy, happy, euphoric, uplifted 
454,blueberry lambsbread, relaxed, happy, uplifted, euphoric, creative 
455,blueberry muffins, relaxed, happy, euphoric, uplifted, sleepy 
456,blueberry og, relaxed, uplifted, happy, euphoric, focused 
457,blueberry pancakes, relaxed, happy, uplifted, euphoric, focused 
458,blueberry pie, relaxed, happy, uplifted, euphoric, sleepy 
459,blueberry silvertip, happy, relaxed, uplifted, focused, tingly 
460,blueberry skunk, relaxed, sleepy, euphoric, happy, hungry 
461,blueberry space cake, relaxed, euphoric, happy, sleepy, giggly 
462,blue train, euphoric, relaxed, aroused, hungry, energetic 
463,blueberry triple og, relaxed, happy, uplifted, creative, euphoric 
464,blueberry waltz, uplifted, relaxed, euphoric, talkative, happy 
465,blueberry yum yum, euphoric, uplifted, focused, creative, happy 
466,blues, relaxed, happy, talkative, creative, uplifted 
467,blukashima, creative ,,,,
