,strain,effect_1,effect_2,effect_3,effect_4,effect_5
1284,green poison, sleepy, euphoric, relaxed, hungry, tingly 
1285,green python, euphoric, happy, relaxed, sleepy, creative 
1286,green queen, happy, energetic, euphoric, focused, uplifted 
1287,green ribbon, focused, happy, aroused, uplifted, energetic 
1288,gremlin, euphoric, relaxed, uplifted, aroused, focused 
1289,green magic, uplifted, tingly, energetic, relaxed, hungry 
1290,green mango, euphoric, happy, uplifted, relaxed, creative 
1291,green monster, happy, uplifted, talkative, energetic, euphoric 
1292,green poison, sleepy, euphoric, relaxed, hungry, tingly 
1293,green python, euphoric, happy, relaxed, sleepy, creative 
1294,green queen, happy, energetic, euphoric, focused, uplifted 
1295,green ribbon, focused, happy, aroused, uplifted, energetic 
1296,gremlin, euphoric, relaxed, uplifted, aroused, focused 
1297,grilled cheese, euphoric, happy, relaxed, giggly, talkative 
1298,grimace, relaxed, happy, giggly, euphoric, sleepy 
1299,grimace og, relaxed, happy, euphoric, sleepy, aroused 
1300,grimmdica, relaxed, euphoric, happy, sleepy, creative 
1301,guard dawg, relaxed, focused, sleepy, happy, tingly 
1302,guava cake, euphoric, tingly, happy, relaxed, creative 
1303,guava chem, happy, uplifted, relaxed, euphoric, creative 
1304,guava gelato, euphoric, creative, uplifted, happy, relaxed 
1305,guava kush, happy, relaxed, euphoric, uplifted, energetic 
1306,gucci og, relaxed, uplifted, giggly, happy, energetic 
1307,guido kush, euphoric, uplifted, creative, relaxed, sleepy 
1308,gumbo, relaxed, hungry, sleepy, giggly, happy 
1309,gummo, relaxed, happy, uplifted, sleepy, euphoric 
1310,gummy bears, happy, euphoric, aroused, sleepy, giggly 
1311,gupta haze, relaxed, happy, euphoric, giggly, hungry 
1312,gupta kush, relaxed, happy, sleepy, focused, talkative 
1313,guptilla, aroused, sleepy, happy, euphoric, relaxed 
1314,gutbuster, euphoric, tingly, uplifted, energetic, relaxed 
1315,hades haze, relaxed, euphoric, giggly, hungry, creative 
1316,hades og, uplifted, tingly, relaxed, euphoric, happy 
1317,haleighs hope, relaxed, sleepy, uplifted, happy, focused 
1318,hammerhead, happy, euphoric, creative, energetic, sleepy 
1319,hannibal nectar, euphoric, happy, uplifted, creative, energetic 
1320,haole, relaxed, happy, euphoric, uplifted, creative 
1321,haoma, relaxed, happy, uplifted, energetic, creative 
1322,haoma mist, tingly, sleepy, hungry, happy, relaxed 
1323,happy rancher, happy, euphoric, relaxed, giggly, focused 
1324,hardcore og, relaxed, euphoric, happy, tingly, sleepy 
1325,harle tsu, relaxed, uplifted, happy, focused, creative 
1326,harlequin, relaxed, focused, uplifted, happy, energetic 
1327,harlequin gdp, relaxed, sleepy, happy, euphoric, uplifted 
1328,harley storm, relaxed, creative, euphoric, happy, uplifted 
1329,harley twin, creative, energetic, euphoric, relaxed, uplifted 
1330,harmonia, happy, euphoric, relaxed, giggly, tingly 
1331,harmony, relaxed, happy, uplifted, euphoric, tingly 
1332,harry potter, relaxed, creative, uplifted, happy, energetic 
1333,hash plant, relaxed, sleepy, happy, uplifted, hungry 
1334,hashbar og, relaxed, euphoric, happy, focused, aroused 
1335,hashberry, relaxed, happy, euphoric, sleepy, uplifted 
1336,hashplant haze, happy, relaxed, sleepy, hungry, uplifted 
1337,hawaiian, happy, relaxed, focused, euphoric, uplifted 
1338,hawaiian cookies, euphoric, relaxed, energetic, focused, happy 
1339,hawaiian delight, uplifted, relaxed, euphoric, creative, tingly 
1340,hawaiian diesel, relaxed, energetic, happy, euphoric, creative 
1341,hashbar og, relaxed, euphoric, happy, focused, aroused 
1342,hashberry, relaxed, happy, euphoric, sleepy, uplifted 
1343,hashplant haze, happy, relaxed, sleepy, hungry, uplifted 
1344,hawaiian, happy, relaxed, focused, euphoric, uplifted 
1345,hawaiian cookies, euphoric, relaxed, energetic, focused, happy 
1346,hawaiian delight, uplifted, relaxed, euphoric, creative, tingly 
1347,hawaiian diesel, relaxed, energetic, happy, euphoric, creative 
1348,hawaiian dream, relaxed, happy, uplifted, focused, euphoric 
1349,hawaiian duckfoot, uplifted, energetic, euphoric, creative, giggly 
1350,hawaiian fire, euphoric, uplifted, happy, tingly, hungry 
1351,hawaiian haze, happy, uplifted, creative, energetic, talkative 
1352,hawaiian mayan gold, uplifted, happy, energetic, euphoric, creative 
1353,hawaiian punch, happy, uplifted, euphoric, tingly, talkative 
1354,hawaiian purple kush, happy, relaxed, sleepy, giggly, euphoric 
1355,hawaiian sativa, uplifted, euphoric, happy, creative, relaxed 
1356,hawaiian skunk, creative, focused, euphoric, relaxed, happy 
1357,hawaiian snow, energetic, creative, uplifted, relaxed, focused 
1358,hawaiian sunrise, uplifted, happy, relaxed, tingly, euphoric 
1359,hawaiian thunder fuck, creative, euphoric, happy, energetic, relaxed 
1360,hawaiian trinity, happy, uplifted, euphoric, aroused, relaxed 
1361,hawaii 78, creative, euphoric, happy, relaxed, aroused 
1362,hayleys haze, relaxed, uplifted, happy, talkative, euphoric 
1363,haze, happy, uplifted, euphoric, hungry, relaxed 
1364,haze berry, euphoric, relaxed, happy, uplifted, energetic 
1365,haze heaven, happy, talkative, relaxed, uplifted, energetic 
1366,haze mist, energetic, focused, happy, hungry ,
1367,haze wreck, relaxed, uplifted, focused, sleepy, happy 
1368,hazmat og, euphoric, happy, creative, talkative, aroused 
1369,head cheese, relaxed, euphoric, uplifted, focused, tingly 
1370,head trip, relaxed, happy, uplifted, focused, euphoric 
1371,headband, relaxed, happy, uplifted, euphoric, creative 
1372,headbanger, relaxed, euphoric, sleepy, uplifted, happy 
1373,heatwave, happy, relaxed, energetic, hungry, uplifted 
1374,heaven scent, creative, energetic, euphoric, focused, happy 
1375,heavenly og, euphoric, happy, relaxed, energetic, creative 
1376,heavy duty fruity, happy, relaxed, uplifted, sleepy, euphoric 
1377,heisenberg kush, happy, energetic, creative, uplifted, focused 
1378,hell raiser og, uplifted, happy, relaxed, energetic, euphoric 
1379,hells og, relaxed, euphoric, hungry, happy, sleepy 
1380,hellfire og, euphoric, happy, sleepy, energetic, aroused 
1381,hemlock, uplifted, talkative, hungry, relaxed, happy 
1382,hempstar, uplifted, creative, focused, happy, talkative 
1383,hercules, happy, euphoric, energetic, focused, creative 
1384,herojuana, relaxed, sleepy, happy, uplifted, euphoric 
1385,hibiscus sunrise, relaxed, euphoric, happy, tingly, giggly 
1386,high noon irish cream, euphoric, happy, relaxed, sleepy, creative 
1387,high school sweetheart, happy, uplifted, relaxed, focused, euphoric 
1388,higher power, creative, happy, uplifted, focused, euphoric 
1389,highwayman, happy, relaxed, uplifted, focused, creative 
1390,himalayan blackberry, relaxed, sleepy, tingly, focused, happy 
1391,himalayan gold, euphoric, creative, happy, energetic, relaxed 
1392,hindu kush, relaxed, sleepy, happy, euphoric, uplifted 
1393,hindu skunk, relaxed, happy, sleepy, euphoric, energetic 
1394,high noon irish cream, euphoric, happy, relaxed, sleepy, creative 
1395,high school sweetheart, happy, uplifted, relaxed, focused, euphoric 
1396,higher power, creative, happy, uplifted, focused, euphoric 
1397,highwayman, happy, relaxed, uplifted, focused, creative 
1398,himalayan blackberry, relaxed, sleepy, tingly, focused, happy 
1399,himalayan gold, euphoric, creative, happy, energetic, relaxed 
1400,hindu kush, relaxed, sleepy, happy, euphoric, uplifted 
1401,hindu skunk, relaxed, happy, sleepy, euphoric, energetic 
1402,hindu sour, sleepy, hungry, relaxed ,,
1403,hippie chicken, euphoric, happy, giggly, talkative, creative 
1404,hippie crippler, uplifted, euphoric, energetic, happy, giggly 
1405,hoarfrost, creative, euphoric, focused, happy, hungry 
1406,hogs breath, happy, relaxed, sleepy, hungry, tingly 
1407,hollands hope, sleepy, euphoric, relaxed, happy, uplifted 
1408,hollyweed, happy, creative, euphoric, giggly, energetic 
1409,hollywood og, energetic, relaxed, uplifted, euphoric, creative 
1410,holy ghost, euphoric, happy, relaxed, giggly, hungry 
1411,holy grail kush, relaxed, happy, euphoric, uplifted, focused 
1412,holy roller, euphoric, focused, happy, relaxed ,
1413,honey bananas, uplifted, giggly, creative, relaxed, happy 
1414,honey boo boo, relaxed, euphoric, happy, uplifted, giggly 
1415,honey lemon cheese, relaxed, creative, happy, euphoric, talkative 
1416,honey rock, relaxed, giggly, sleepy, creative, uplifted 
1417,hong kong, relaxed, focused, happy, energetic, hungry 
1418,hoodwreck, euphoric, happy, creative, energetic, focused 
1419,horace, euphoric, happy, tingly, uplifted, aroused 
1420,huckleberries, aroused, euphoric, giggly, happy, hungry 
1421,huckleberry, happy, relaxed, euphoric, energetic, uplifted 
1422,huckleberry cough, happy, relaxed, sleepy, euphoric, focused 
1423,huckleberry diesel, happy, relaxed, euphoric, giggly, creative 
1424,huckleberry hound, euphoric, happy, relaxed, giggly, hungry 
1425,hulkamania, aroused, uplifted, euphoric, relaxed, happy 
1426,humboldt, relaxed, euphoric, happy, uplifted, sleepy 
1427,humboldt dream, relaxed, happy, uplifted, tingly, euphoric 
1428,humboldt hawaiian, aroused, euphoric, happy, relaxed, uplifted 
1429,humboldt headband, euphoric, relaxed, happy, sleepy, focused 
1430,humdinger og, creative, euphoric, focused, relaxed ,
1431,hurkle, relaxed, happy, sleepy, uplifted, tingly 
1432,hurricane, uplifted, happy, energetic, euphoric, relaxed 
1433,hustler kush, happy, uplifted, energetic, euphoric, relaxed 
1434,i 95, focused, happy, euphoric, relaxed, creative 
1435,iced grapefruit, uplifted, giggly, relaxed, energetic, creative 
1436,ig kush, happy, relaxed, sleepy, hungry, tingly 
1437,ice, happy, euphoric, giggly, relaxed, talkative 
1438,ice cream, relaxed, happy, sleepy, euphoric, creative 
1439,ice cream cake, relaxed, happy, euphoric, sleepy, tingly 
1440,ice princess, uplifted, tingly, happy, relaxed, euphoric 
1441,ice queen, creative, energetic, happy, uplifted, relaxed 
1442,ice wreck, relaxed, euphoric, uplifted, happy, giggly 
1443,ig kush, happy, relaxed, sleepy, hungry, tingly 
1444,ice, happy, euphoric, giggly, relaxed, talkative 
1445,ice cream, relaxed, happy, sleepy, euphoric, creative 
1446,ice cream cake, relaxed, happy, euphoric, sleepy, tingly 
1447,ice princess, uplifted, tingly, happy, relaxed, euphoric 
1448,ice queen, creative, energetic, happy, uplifted, relaxed 
1449,ice wreck, relaxed, euphoric, uplifted, happy, giggly 
1450,iced widow, relaxed, sleepy, focused, happy, uplifted 
1451,ill og, relaxed, euphoric, happy, sleepy, uplifted 
1452,illuminati og, relaxed, happy, sleepy, tingly, euphoric 
1453,in the pines, happy, relaxed, energetic, uplifted, focused 
1454,incredible bulk, relaxed, happy, sleepy, euphoric, creative 
1455,incredible hulk, energetic, uplifted, focused, happy, euphoric 
1456,industrial plant, uplifted, relaxed, energetic, euphoric, happy 
1457,ingrid, relaxed, happy, sleepy, euphoric, tingly 
1458,intergalactic, relaxed, happy, hungry, euphoric, tingly 
1459,inzane in the membrane, focused, euphoric, uplifted, energetic, happy 
1460,irene kush, relaxed, happy, euphoric, hungry, sleepy 
1461,irish cream, relaxed, uplifted, focused, happy, euphoric 
1462,iron triangle, happy, relaxed, giggly, tingly, euphoric 
1463,island haze, creative, uplifted, relaxed, energetic, euphoric 
1464,island maui haze, relaxed, happy, talkative, euphoric, tingly 
1465,island sweet skunk, happy, energetic, uplifted, focused, euphoric 
1466,js famous kush, relaxed, uplifted, euphoric, aroused, energetic 
1467,j 27, energetic, uplifted, talkative, focused, creative 
1468,j1, uplifted, happy, energetic, focused, creative 
1469,jr, relaxed, happy, euphoric, uplifted, sleepy 
1470,jt15, relaxed, happy, hungry, sleepy, creative 
1471,jack 47, happy, energetic, euphoric, relaxed, talkative 
1472,jack burton, aroused, creative, euphoric, focused, giggly 
1473,jack diesel, energetic, creative, focused, happy, euphoric 
1474,jack flash, focused, creative, happy, uplifted, energetic 
1475,jack frost, happy, relaxed, euphoric, uplifted, creative 
1476,jack haze, happy, creative, giggly, focused, relaxed 
1477,jack herer, happy, uplifted, energetic, focused, euphoric 
1478,jack kush, euphoric, uplifted, energetic, focused, happy 
1479,jack skellington, happy, talkative, euphoric, energetic, uplifted 
1480,jack smack, happy, energetic, focused, relaxed, hungry 
1481,jack widow, relaxed, sleepy, happy, uplifted, euphoric 
1482,jack wreck, uplifted, energetic, euphoric, giggly, relaxed 
1483,jack of spades, creative, euphoric, focused, happy, relaxed 
1484,jack the ripper, happy, energetic, creative, euphoric, uplifted 
1485,jacks cleaner, happy, energetic, euphoric, uplifted, relaxed 
1486,jacks dream, energetic, focused, uplifted, happy, euphoric 
1487,jackalope, happy, energetic, talkative, uplifted, euphoric 
1488,jacked up, happy, energetic, euphoric, hungry, relaxed 
1489,jacky girl, aroused, creative, energetic, euphoric, focused 
1490,jacky white, relaxed, uplifted, happy, talkative, hungry 
1491,jacks dragon girl 7, energetic, giggly, happy, hungry ,
1492,jacks girl, creative, energetic, uplifted, euphoric, aroused 
1493,jah goo, sleepy, relaxed, happy, hungry, euphoric 
1494,jah kush, happy, euphoric, uplifted, creative, giggly 
1495,jackalope, happy, energetic, talkative, uplifted, euphoric 
1496,jacked up, happy, energetic, euphoric, hungry, relaxed 
1497,jacky girl, aroused, creative, energetic, euphoric, focused 
1498,jacky white, relaxed, uplifted, happy, talkative, hungry 
1499,jacks dragon girl 7, energetic, giggly, happy, hungry ,
1500,jacks girl, creative, energetic, uplifted, euphoric, aroused 
1501,jah goo, sleepy, relaxed, happy, hungry, euphoric 
1502,jah kush, happy, euphoric, uplifted, creative, giggly 
1503,jahwaiian, aroused, energetic, creative, euphoric, happy 
1504,jamaican, uplifted, creative, relaxed, tingly, happy 
1505,jamaican dream, energetic, creative, focused, euphoric, happy 
1506,jamaican lion, uplifted, relaxed, happy, focused, creative 
1507,jamaican pearl, energetic, euphoric, happy, uplifted, creative 
1508,jamba juice, happy, relaxed, euphoric, creative, giggly 
1509,jane doe, euphoric, happy, tingly, giggly, uplifted 
1510,jasmin, euphoric, relaxed, happy, sleepy, giggly 
1511,jawa pie, relaxed, euphoric, focused, uplifted, energetic 
1512,jazz, giggly, relaxed, uplifted, euphoric, happy 
1513,jean guy, uplifted, energetic, euphoric, happy, creative 
1514,jedi kush, relaxed, sleepy, happy, hungry, euphoric 
1515,jelly roll, sleepy, relaxed, happy, uplifted, euphoric 
1516,jenni, euphoric, happy, relaxed, creative, energetic 
1517,jenny kush, relaxed, uplifted, creative, happy, euphoric 
1518,jericho haze, creative, energetic, focused, happy, hungry 
1519,jesses girl, euphoric, relaxed, happy, uplifted, aroused 
1520,jesus, happy, relaxed, uplifted, aroused, euphoric 
1521,jesus og, relaxed, happy, euphoric, uplifted, focused 
1522,jet fuel, relaxed, uplifted, happy, euphoric, energetic 
1523,jilly dawg, euphoric, focused, relaxed, tingly, giggly 
1524,jillybean, happy, uplifted, euphoric, relaxed, energetic 
1525,jimi hendrix, creative, uplifted, euphoric, happy, energetic 
1526,jock horror, energetic, happy, euphoric, relaxed, hungry 
1527,johnnys tonic, focused, energetic, sleepy, happy, relaxed 
1528,jorges diamond, relaxed, sleepy, tingly, uplifted, creative 
1529,josh d og, relaxed, happy, sleepy, hungry, euphoric 
1530,juicy fruit, happy, relaxed, uplifted, euphoric, creative 
1531,juicy jack, happy, uplifted, creative, euphoric, energetic 
1532,juliet, happy, uplifted, energetic, relaxed, focused 
1533,julius caesar, happy, euphoric, uplifted, relaxed, hungry 
1534,jungle juice, relaxed, sleepy, energetic, happy, uplifted 
1535,jungle scout cookies, uplifted, energetic, euphoric, focused, hungry 
1536,jungle spice, relaxed ,,,,
1537,jupiter og, relaxed, sleepy, hungry, happy, euphoric 
1538,k train, relaxed, happy, uplifted, sleepy, hungry 
1539,k1, happy, uplifted, euphoric, focused, relaxed 
