,strain,negative_1,negative_2,negative_3,negative_4,negative_5
1854,ocas cloud 9, dry mouth, anxious, paranoid ,,
1855,ocd, dry mouth, paranoid, dry eyes, anxious, dizzy 
1856,og 18, dry mouth, dry eyes, dizzy, anxious, headache 
1857,og 1 kenobi, dry mouth, dry eyes, dizzy, headache, paranoid 
1858,og cheese, dry mouth, dry eyes, dizzy, headache, paranoid 
1859,og chem, paranoid, anxious, dry mouth, dry eyes, headache 
1860,og diesel kush, dry mouth, dry eyes, dizzy, paranoid, headache 
1861,og eddy lepp, anxious, paranoid, dry mouth ,,
1862,og glue sniffer, dry eyes, dry mouth ,,,
1863,og kush, dry mouth, dry eyes, dizzy, paranoid, anxious 
1864,og la affie, dry mouth, dry eyes, anxious, dizzy, headache 
1865,og los angeles kush, dry eyes ,,,,
1866,og poison, dry mouth, dry eyes, dizzy, headache, paranoid 
1867,og ringo, dry mouth, dizzy, dry eyes, headache ,
1868,og shark, dry eyes, dry mouth, dizzy, paranoid, anxious 
1869,og skunk, dry mouth, dry eyes, anxious, headache, dizzy 
1870,og sour diesel, dry mouth, dry eyes ,,,
1871,og strawberry, dry mouth, dizzy, dry eyes ,,
1872,og tonic, dry mouth ,,,,
1873,og wreck, dry mouth, dry eyes, headache, paranoid, anxious 
1874,ogs pearl, dry mouth, anxious, dizzy, dry eyes, headache 
1875,ogkb, dry mouth, dry eyes, dizzy, anxious, headache 
1876,ogiesel, dry mouth, dry eyes, dizzy, headache, paranoid 
1877,obama kush, dry mouth, dry eyes, dizzy, paranoid, headache 
1878,ocean view, dry eyes, dry mouth, anxious ,,
1879,odyssey, dry eyes, dry mouth, headache, paranoid ,
1880,ogre, dry mouth, dry eyes, anxious, paranoid, headache 
1881,ogre berry, dry mouth, dry eyes, dizzy, paranoid ,
1882,old lyme connecticut og, dry mouth ,,,,
1883,old school og, dry eyes, paranoid, dry mouth ,,
1884,old toby, dry eyes, dry mouth ,,,
1885,oldtimers haze, headache ,,,,
1886,ogre berry, dry mouth, dry eyes, dizzy, paranoid ,
1887,old lyme connecticut og, dry mouth ,,,,
1888,old school og, dry eyes, paranoid, dry mouth ,,
1889,old toby, dry eyes, dry mouth ,,,
1890,oldtimers haze, headache ,,,,
1891,omega, dry mouth, anxious, dizzy, dry eyes, headache 
1892,omega dawg, dizzy, dry eyes, dry mouth, headache ,
1893,one to one, dry mouth ,,,,
1894,opal og kush, dry mouth, paranoid, dizzy ,,
1895,opium, dizzy, dry mouth, anxious, dry eyes ,
1896,or, dry mouth, headache ,,,
1897,orange blossom, dry mouth, anxious, dry eyes, paranoid, headache 
1898,orange bud, dry mouth, dry eyes, paranoid, dizzy, headache 
1899,orange cream, dry eyes, dry mouth ,,,
1900,orange creamsicle, paranoid, dizzy, headache, dry mouth, dry eyes 
1901,orange crush, dry mouth, headache, dry eyes, dizzy, paranoid 
1902,orange diesel, dry mouth, dry eyes, paranoid, anxious, dizzy 
1903,orange dream, dry mouth, headache, dry eyes, paranoid, dizzy 
1904,orange durban, dry eyes, dry mouth, headache ,,
1905,orange haze, dry mouth, dry eyes, dizzy, paranoid, anxious 
1906,orange hill special, dry mouth, dry eyes ,,,
1907,orange juice, dry eyes, dry mouth, dizzy, anxious, paranoid 
1908,orange kush, dry mouth, dry eyes, paranoid, anxious, dizzy 
1909,orange kush breath, anxious, paranoid ,,,
1910,orange skunk, dry mouth, anxious, paranoid, dry eyes, headache 
1911,orange snow cone, headache ,,,,
1912,orange turbo, dry mouth, dry eyes ,,,
1913,orange velvet, dry mouth, dry eyes, anxious, dizzy, paranoid 
1914,orange wreck, dry mouth, dry eyes, dizzy, headache ,
1915,orangutang, dry eyes, dry mouth ,,,
1916,oregon diesel, dry mouth, dizzy, dry eyes, anxious, paranoid 
1917,oregon pineapple, dry mouth, dry eyes ,,,
1918,oregon pinot noir, dry mouth, dizzy ,,,
1919,organic diesel, dry eyes, dry mouth, dizzy, paranoid ,
1920,orient express, dry mouth ,,,,
1921,original glue, dry mouth, dry eyes, paranoid, anxious, dizzy 
1922,ortega, dry eyes, dry mouth ,,,
1923,oteils egyptian kush, dry eyes, dry mouth ,,,
1924,outer space, dry mouth, dry eyes, anxious, paranoid, headache 
1925,outlaw, dry mouth, dry eyes, headache ,,
1926,p 51, dry mouth, dry eyes, dizzy, paranoid, anxious 
1927,p 91, dry mouth, anxious, dry eyes ,,
1928,pvc og, dry mouth ,,,,
1929,pacific blue, dry mouth, dry eyes, dizzy ,,
1930,outlaw, dry mouth, dry eyes, headache ,,
1931,p 51, dry mouth, dry eyes, dizzy, paranoid, anxious 
1932,p 91, dry mouth, anxious, dry eyes ,,
1933,pvc og, dry mouth ,,,,
1934,pacific blue, dry mouth, dry eyes, dizzy ,,
1935,pakistan valley kush, dry eyes, dry mouth, headache ,,
1936,pakistani chitral kush, dry mouth, dry eyes, headache, dizzy ,
1937,palm tree cbd, dry mouth, anxious, dry eyes, dizzy, headache 
1938,pamelina, dry eyes, dry mouth, dizzy, anxious ,
1939,pan jam, anxious ,,,,
1940,panama punch, dry eyes, dry mouth, anxious ,,
1941,panama red, dry mouth, anxious, paranoid, dry eyes, headache 
1942,panda og, dry mouth, anxious, dry eyes, dizzy, headache 
1943,pandoras box, anxious, dry eyes, headache, dry mouth, paranoid 
1944,papas og, dry mouth, dry eyes, dizzy, headache, anxious 
1945,paris og, dry mouth, dry eyes, dizzy, anxious, paranoid 
1946,paris xxx, anxious ,,,,
1947,peach cobbler, dry eyes, dry mouth ,,,
1948,peach crescendo f 1, headache, dry eyes ,,,
1949,peaches and cream, dry mouth, anxious, paranoid, dry eyes, headache 
1950,peachy mack, dry mouth ,,,,
1951,pearl scout cookies, dizzy, dry mouth, dry eyes, anxious, paranoid 
1952,pennywise, dry eyes, dry mouth, headache, anxious, dizzy 
1953,peppermint cookies, dizzy, dry mouth, anxious, dry eyes, headache 
1954,permafrost, dry mouth, dry eyes, anxious, dizzy, paranoid 
1955,petrolia headstash, anxious, dry eyes, dry mouth ,,
1956,peyote cookies, dry mouth, dry eyes, dizzy, headache, paranoid 
1957,pez, dry eyes, dry mouth, dizzy, paranoid ,
1958,phantom arrow, dry mouth, headache ,,,
1959,phantom cookies, dry mouth, dry eyes, dizzy, paranoid, anxious 
1960,phantom og, dry mouth, dry eyes, dizzy, paranoid, headache 
1961,phatt frutty, dry mouth, dry eyes ,,,
1962,pheno 51, dry mouth, dizzy, dry eyes, headache, paranoid 
1963,pie face og, dry mouth, dry eyes, dizzy, anxious, headache 
1964,pie hoe, dry mouth, anxious, dizzy, paranoid ,
1965,pine cone, dry mouth, dry eyes, paranoid ,,
1966,pine queen dream, dry mouth ,,,,
1967,pine tar kush, dry mouth, headache, dry eyes, paranoid, anxious 
1968,pineapple, dry mouth, dry eyes, paranoid, anxious, headache 
1969,pineapple cookies, anxious, dry mouth, dry eyes, paranoid ,
1970,pie hoe, dry mouth, anxious, dizzy, paranoid ,
1971,pine cone, dry mouth, dry eyes, paranoid ,,
1972,pine queen dream, dry mouth ,,,,
1973,pine tar kush, dry mouth, headache, dry eyes, paranoid, anxious 
1974,pineapple, dry mouth, dry eyes, paranoid, anxious, headache 
1975,pineapple cookies, anxious, dry mouth, dry eyes, paranoid ,
1976,pineapple diesel, anxious, dry mouth, dry eyes, dizzy, paranoid 
1977,pineapple dog shit, dizzy, dry eyes, dry mouth, anxious, paranoid 
1978,pineapple express, dry mouth, dry eyes, paranoid, anxious, dizzy 
1979,pineapple fields, dry mouth, anxious, dry eyes, paranoid, dizzy 
1980,pineapple haze, dry mouth, dry eyes, dizzy, headache, anxious 
1981,pineapple jack, dry mouth, paranoid, anxious, dry eyes, dizzy 
1982,pineapple kush, dry mouth, dry eyes, headache, dizzy, anxious 
1983,pineapple mayhem, dry mouth ,,,,
1984,pineapple og, dry mouth, dry eyes, dizzy, headache, paranoid 
1985,pineapple punch, dry mouth, dry eyes, anxious, dizzy, paranoid 
1986,pineapple purple skunk, anxious, dry mouth, headache ,,
1987,pineapple purps, dry mouth, anxious ,,,
1988,pineapple sage, dry mouth, headache ,,,
1989,pineapple skunk, anxious, dry mouth, dizzy, dry eyes, paranoid 
1990,pineapple super silver haze, dry eyes, dry mouth, dizzy, anxious, paranoid 
1991,pineapple thai, dry mouth, dry eyes, dizzy, headache, anxious 
1992,pineapple trainwreck, dry mouth, dry eyes, headache, anxious, paranoid 
1993,pineapple upside down cake, dry mouth, dry eyes ,,,
1994,pineapple zest, anxious ,,,,
1995,pinewarp, dry mouth ,,,,
1996,pink berry, anxious, dry eyes ,,,
1997,pink bubba, dry mouth, dizzy, dry eyes, headache, anxious 
1998,pink champagne, dry mouth, dry eyes, dizzy, paranoid, anxious 
1999,pink cookies, dry mouth, dry eyes, paranoid, anxious, dizzy 
2000,pink death star, dizzy, dry mouth, dry eyes, anxious, paranoid 
2001,pink hawaiian, dry mouth ,,,,
2002,pink kush, dry mouth, dry eyes, anxious, paranoid, dizzy 
2003,pink lemonade, dry mouth, dizzy, anxious, headache, dry eyes 
2004,pink mango, dry eyes, dry mouth ,,,
2005,pink panther, dry eyes, dry mouth, anxious, headache, dizzy 
2006,pink panties, dry mouth, headache, dry eyes, anxious ,
2007,pink pez, dry eyes, dry mouth, dizzy ,,
2008,pink starburst, dry mouth, dry eyes, dizzy, headache, paranoid 
2009,pink sunset, paranoid, dizzy, dry mouth, dry eyes, anxious 
2010,pinot green, anxious, dizzy ,,,
2011,pitbull, dry eyes, dry mouth, dizzy, paranoid, anxious 
2012,pia collision, dizzy, dry eyes ,,,
2013,placenta, dry mouth ,,,,
2014,platinum bubba kush, dry mouth, dry eyes, headache, dizzy, paranoid 
2015,platinum gsc, dry mouth, dry eyes, headache, dizzy, anxious 
2016,platinum huckleberry cookies, paranoid, dry mouth, dry eyes, dizzy, anxious 
2017,platinum kush, dry mouth, dry eyes, paranoid, headache, anxious 
2018,platinum og, dry mouth, dry eyes, anxious, dizzy, headache 
2019,pia collision, dizzy, dry eyes ,,,
2020,placenta, dry mouth ,,,,
2021,platinum bubba kush, dry mouth, dry eyes, headache, dizzy, paranoid 
2022,platinum gsc, dry mouth, dry eyes, headache, dizzy, anxious 
2023,platinum huckleberry cookies, paranoid, dry mouth, dry eyes, dizzy, anxious 
2024,platinum kush, dry mouth, dry eyes, paranoid, headache, anxious 
2025,platinum og, dry mouth, dry eyes, anxious, dizzy, headache 
2026,platinum purple kush, dry mouth, dry eyes, dizzy, paranoid, anxious 
2027,platinum sour diesel, dry eyes, dry mouth ,,,
2028,platinum wreck, dry mouth, dry eyes, dizzy, anxious, paranoid 
2029,plushberry, dry mouth, anxious, dizzy, dry eyes, paranoid 
2030,pluto kush, dry eyes, dry mouth, headache, dizzy ,
2031,poison haze, dry eyes, dry mouth, dizzy, headache, paranoid 
2032,pokie, dry mouth, dry eyes, anxious, dizzy, paranoid 
2033,poochie love, dry eyes, dry mouth, headache ,,
2034,pop rox, dry eyes ,,,,
2035,popcorn kush, dry eyes, dry mouth, paranoid, headache, dizzy 
2036,pot of gold, dry eyes, dizzy, anxious, dry mouth, paranoid 
2037,powderhound, dry mouth ,,,,
2038,power kush, dry eyes, dry mouth, dizzy, paranoid, headache 
2039,power plant, dry mouth, dry eyes, dizzy, anxious, headache 
2040,pre 98 bubba kush, dry mouth, dry eyes, dizzy, anxious, headache 
2041,predator pink, dry mouth, dizzy, anxious, dry eyes, paranoid 
2042,presidential og, dry mouth, dry eyes, dizzy, paranoid, headache 
2043,prevention, dry mouth ,,,,
2044,primus, dry mouth, dry eyes, dizzy, anxious, paranoid 
2045,princess, dry mouth, paranoid ,,,
2046,princesss tiara, dry mouth ,,,,
2047,professor chaos, dry mouth, dry eyes, dizzy, headache ,
2048,project blue book, dry mouth, anxious, dry eyes ,,
2049,puna buddaz, anxious, dizzy, dry eyes, dry mouth ,
2050,puna budder, dry eyes, dry mouth, anxious, headache ,
2051,punky lion, dry mouth, dry eyes, paranoid ,,
2052,punxsy punch, dry mouth ,,,,
2053,pura vida, dry eyes, dry mouth, headache ,,
2054,pure afghan, anxious, dizzy, dry mouth, dry eyes, headache 
2055,pure kush, anxious, dizzy, dry mouth, dry eyes, paranoid 
2056,pure love, dry mouth, dry eyes ,,,
2057,pure og, dry mouth, dry eyes, paranoid, dizzy, headache 
2058,pure power plant, dry mouth, headache, dry eyes, paranoid, dizzy 
2059,purple ak 47, dry mouth, dry eyes, headache, dizzy, paranoid 
2060,purple afghani, paranoid, anxious, dry mouth, dry eyes, dizzy 
2061,purple alien og, dizzy, dry mouth, dry eyes, paranoid, anxious 
2062,purple arrow, dry mouth, dry eyes, dizzy, headache, paranoid 
2063,purple aurora, dizzy, anxious ,,,
2064,purple berry, dry mouth, dry eyes, dizzy, anxious, paranoid 
2065,purple ak 47, dry mouth, dry eyes, headache, dizzy, paranoid 
2066,purple afghani, paranoid, anxious, dry mouth, dry eyes, dizzy 
2067,purple alien og, dizzy, dry mouth, dry eyes, paranoid, anxious 
2068,purple arrow, dry mouth, dry eyes, dizzy, headache, paranoid 
2069,purple aurora, dizzy, anxious ,,,
2070,purple berry, dry mouth, dry eyes, dizzy, anxious, paranoid 
2071,purple bubba, paranoid, dry eyes, dizzy, dry mouth, anxious 
2072,purple bud, dizzy, dry mouth, dry eyes ,,
2073,purple buddha, dizzy, headache, dry mouth, dry eyes, paranoid 
2074,purple bush, dry mouth, dry eyes ,,,
2075,purple candy, dry mouth, anxious, dizzy, paranoid, dry eyes 
2076,purple champagne, dry mouth, anxious, paranoid, dry eyes, headache 
2077,purple cheddar, dry mouth, dry eyes, anxious, dizzy, headache 
2078,purple cheese, dry mouth, dry eyes, headache, dizzy, paranoid 
2079,purple chemdawg, dry mouth, dizzy, anxious, dry eyes, paranoid 
2080,purple cotton candy, dry mouth, dry eyes, dizzy, anxious, headache 
2081,purple crack, dry mouth, dizzy, dry eyes, paranoid, headache 
2082,purple cream, dry mouth, dry eyes, paranoid, dizzy, anxious 
2083,purple diesel, dry mouth, dry eyes, headache, anxious, dizzy 
2084,purple dog shit, dry eyes, dry mouth, anxious, dizzy ,
2085,purple dragon, dry mouth, dry eyes, dizzy, anxious, paranoid 
2086,purple dream, dry mouth, dry eyes, dizzy, headache, paranoid 
2087,purple elephant, dry mouth, dry eyes, paranoid, anxious, dizzy 
2088,purple frost, dry mouth, dry eyes ,,,
2089,purple glue, dry mouth, dizzy, dry eyes ,,
2090,purple goo, dry eyes, dry mouth, dizzy, headache, paranoid 
2091,purple gorilla, dry mouth, dry eyes, dizzy, headache, anxious 
2092,purple happy rancher, dry mouth, dry eyes, anxious ,,
2093,purple hashplant, dry mouth, dry eyes, headache ,,
2094,purple haze, dry mouth, dry eyes, dizzy, paranoid, anxious 
2095,purple headband, headache, dry mouth, dry eyes, anxious, dizzy 
2096,purple hindu kush, dry mouth, dry eyes, anxious, dizzy, paranoid 
2097,purple ice, paranoid, dry mouth, anxious, dry eyes, dizzy 
2098,purple jack, dry eyes, dry mouth, paranoid, dizzy, headache 
2099,purple killer, dry mouth, dizzy ,,,
2100,purple kush, dry mouth, dry eyes, dizzy, anxious, headache 
2101,purple linda, dry eyes, dry mouth ,,,
2102,purple martian kush, dry mouth, dry eyes, headache, anxious, dizzy 
2103,purple maui, dry mouth, anxious, dizzy, paranoid ,
2104,purple monkey balls, paranoid, dry mouth, anxious, dry eyes, headache 
2105,purple mr nice, dry eyes, dry mouth, headache, dizzy, paranoid 
2106,purple nepal, dry mouth, dry eyes, dizzy, headache, paranoid 
2107,purple og kush, dry mouth, dry eyes, anxious, paranoid, dizzy 
2108,purple panty dropper, dry eyes, dry mouth, anxious, paranoid, headache 
2109,purple paralysis, dry mouth, anxious, dry eyes, headache, paranoid 
2110,purple passion, dry mouth, dry eyes, headache, anxious, dizzy 
2111,purple people eater, dizzy, dry mouth ,,,
2112,purple pie, dry eyes, dry mouth ,,,
2113,purple pinecone, dry eyes, anxious, dry mouth ,,
2114,purple power, dry mouth, dry eyes, headache, dizzy ,
2115,purple panty dropper, dry eyes, dry mouth, anxious, paranoid, headache 
2116,purple paralysis, dry mouth, anxious, dry eyes, headache, paranoid 
2117,purple passion, dry mouth, dry eyes, headache, anxious, dizzy 
2118,purple people eater, dizzy, dry mouth ,,,
2119,purple pie, dry eyes, dry mouth ,,,
2120,purple pinecone, dry eyes, anxious, dry mouth ,,
2121,purple power, dry mouth, dry eyes, headache, dizzy ,
2122,purple prevention, anxious, dizzy, paranoid ,,
2123,purple princess, dry mouth, dry eyes, paranoid, dizzy, anxious 
2124,purple punch, dry mouth, dry eyes, dizzy, headache, paranoid 
2125,purple raine, dry eyes, dry mouth, anxious, dizzy, headache 
2126,purple rhino, dry eyes, dizzy, dry mouth, headache, anxious 
2127,purple sage, dry mouth, dry eyes ,,,
2128,purple skunk, dry mouth, dry eyes, dizzy, paranoid, headache 
2129,purple sour diesel, dry mouth, dry eyes, headache, paranoid, dizzy 
2130,purple star, dry eyes, dry mouth, anxious, dizzy ,
2131,purple swish, dry mouth ,,,,
2132,purple tangie, dry eyes, dry mouth, dizzy, headache, anxious 
2133,purple tears, dry mouth, anxious, dry eyes ,,
2134,purple thai, dry eyes, dry mouth, headache ,,
2135,purple tonic, dry mouth, dry eyes ,,,
2136,purple trainwreck, dry mouth, dizzy, dry eyes, paranoid, anxious 
2137,purple urkle, dry mouth, dry eyes, dizzy, paranoid, headache 
2138,purple voodoo, dry mouth, dry eyes, anxious, paranoid, dizzy 
2139,purple widow, dry mouth, dry eyes, anxious, dizzy ,
2140,purple wreck, dry mouth, dry eyes, dizzy, paranoid, anxious 
2141,q3, dry eyes, dry mouth ,,,
2142,qleaner, dry mouth, anxious, dry eyes, dizzy, headache 
2143,qrazy train, dry mouth, dry eyes, dizzy, headache, anxious 
2144,quantum kush, dry mouth, dry eyes, dizzy, anxious, paranoid 
2145,quebec gold, dry mouth, dry eyes, anxious, dizzy ,
2146,queen mother goji, dry mouth, dizzy, anxious, dry eyes, headache 
2147,queens panties, dry eyes, dry mouth, anxious, paranoid ,
2148,querkle, dry mouth, dry eyes, dizzy, anxious, headache 
2149,quin n tonic, dry mouth, dry eyes ,,,
2150,qush, dry mouth, dizzy, dry eyes ,,
2151,race fuel og, dry mouth, dry eyes ,,,
2152,rainbow, dry mouth, dizzy, paranoid, headache, dry eyes 
2153,raindance, dry mouth, dry eyes, anxious, dizzy ,
2154,ramses, dry eyes ,,,,
2155,rare dankness 1, dry mouth, dry eyes, dizzy, paranoid, anxious 
2156,rare darkness, dry mouth, dry eyes, anxious, headache, dizzy 
2157,raskal og, dry mouth, dizzy, paranoid, dry eyes, headache 
2158,raspberry cough, dry mouth, headache, anxious, dizzy, dry eyes 
2159,raspberry diesel, dry eyes, anxious, dizzy, dry mouth ,
2160,raspberry kush, dry mouth, dry eyes, dizzy, paranoid, headache 
2161,ramses, dry eyes ,,,,
2162,rare dankness 1, dry mouth, dry eyes, dizzy, paranoid, anxious 
2163,rare darkness, dry mouth, dry eyes, anxious, headache, dizzy 
2164,raskal og, dry mouth, dizzy, paranoid, dry eyes, headache 
2165,raspberry cough, dry mouth, headache, anxious, dizzy, dry eyes 
2166,raspberry diesel, dry eyes, anxious, dizzy, dry mouth ,
2167,raspberry kush, dry mouth, dry eyes, dizzy, paranoid, headache 
2168,raw diesel, dry mouth, dizzy, dry eyes ,,
2169,ray charles, headache, dry eyes, anxious, dry mouth ,
2170,rebel berry og, anxious, dry eyes, dry mouth ,,
2171,rebel god smoke, dry eyes, dry mouth ,,,
2172,reclining buddha, dry mouth, dry eyes, paranoid ,,
2173,recon, dry mouth, dizzy, paranoid, dry eyes, anxious 
2174,red cherry berry, dry mouth, dry eyes, dizzy, headache ,
2175,red congolese, dry eyes, dry mouth, paranoid, anxious, headache 
2176,red diesel, dry mouth, paranoid, dry eyes, anxious, dizzy 
2177,red dragon, paranoid, dry mouth, anxious, dry eyes, dizzy 
2178,red dwarf, dry mouth, dry eyes, dizzy, headache, paranoid 
2179,red eye og, dry eyes, dry mouth, dizzy, anxious, headache 
2180,red haze, dry mouth, dry eyes, paranoid, dizzy, headache 
2181,red headed stranger, dry mouth, dry eyes, anxious, dizzy, paranoid 
2182,red poison, dry eyes, dry mouth, dizzy, headache ,
2183,red velvet pie, dry eyes ,,,,
2184,red widow, dry mouth, paranoid ,,,
2185,redd cross, dizzy, dry mouth, dry eyes ,,
2186,redwood kush, dry mouth, dry eyes, dizzy, headache, paranoid 
2187,remedy, dry mouth, anxious, dry eyes, headache, paranoid 
2188,remo chemo, dry eyes, dry mouth ,,,
2189,rene, dry eyes, paranoid, dry mouth, headache, anxious 
2190,rene mist, dizzy, dry eyes, dry mouth ,,
2191,richie rich, dry mouth, dry eyes ,,,
2192,riddler og, anxious, dizzy, dry eyes, dry mouth ,
2193,ridge berry, anxious, dizzy ,,,
2194,ringos gift, dry mouth, dry eyes, headache, anxious ,
2195,ripped bubba, dry mouth, dry eyes, headache, dizzy, anxious 
2196,rise n shine, dry mouth, dry eyes ,,,
2197,road dawg, dry mouth, dry eyes, paranoid, dizzy, anxious 
2198,rob ford kush, dry eyes, dry mouth ,,,
2199,robert plant, dizzy, dry eyes, dry mouth ,,
2200,rockbud, dry mouth, dry eyes, dizzy, headache, paranoid 
2201,rocket fuel, anxious, dry eyes, dry mouth ,,
2202,rocklock, dry mouth, dry eyes, dizzy, paranoid, anxious 
2203,rockstar, anxious, paranoid, dry eyes, dry mouth, dizzy 
2204,rockstar kush, dry mouth, dry eyes, paranoid, headache, anxious 
2205,rockstar master kush, dry mouth, dry eyes, dizzy, headache ,
2206,rocky dennis, dry mouth, dizzy, dry eyes ,,
2207,rocky mountain blueberry, dry eyes, dry mouth, paranoid ,,
2208,rocky mountain high, anxious, paranoid, dry mouth, dizzy, dry eyes 
2209,rocket fuel, anxious, dry eyes, dry mouth ,,
2210,rocklock, dry mouth, dry eyes, dizzy, paranoid, anxious 
2211,rockstar, anxious, paranoid, dry eyes, dry mouth, dizzy 
2212,rockstar kush, dry mouth, dry eyes, paranoid, headache, anxious 
2213,rockstar master kush, dry mouth, dry eyes, dizzy, headache ,
2214,rocky dennis, dry mouth, dizzy, dry eyes ,,
2215,rocky mountain blueberry, dry eyes, dry mouth, paranoid ,,
2216,rocky mountain high, anxious, paranoid, dry mouth, dizzy, dry eyes 
2217,rollex og kush, dry mouth, dry eyes, paranoid, headache ,
2218,rolls choice, dry mouth, dry eyes, headache, dizzy, anxious 
2219,romping goddess, dizzy, dry eyes, dry mouth ,,
2220,romulan, dry mouth, dry eyes, dizzy, paranoid, anxious 
2221,romulan grapefruit, dry mouth, dry eyes, dizzy, anxious, headache 
2222,romulan haze, dry mouth, dry eyes, anxious, paranoid ,
2223,root beer kush, dry mouth, paranoid, anxious, dry eyes ,
2224,rose bud, dry eyes, dry mouth, anxious, dizzy, paranoid 
2225,royal chemdawg, dizzy, dry eyes ,,,
2226,royal dwarf, dry mouth, dry eyes, dizzy ,,
2227,royal haze, dry mouth, dry eyes, headache ,,
2228,royal highness, dry mouth, anxious, dry eyes, headache ,
2229,royal kush, headache, dry mouth, dry eyes, dizzy, paranoid 
2230,roz, dizzy, dry eyes, dry mouth ,,
2231,rubicon, dry mouth, dry eyes, anxious ,,
2232,rudeboi og, dry mouth, anxious, dry eyes, paranoid, dizzy 
2233,rug burn og, dry mouth, dry eyes, dizzy, anxious ,
2234,russian assassin, dry mouth, headache, anxious, dry eyes, paranoid 
2235,russian doll, dry eyes, dry mouth, dizzy, anxious ,
2236,russian rocket fuel, dry mouth, dry eyes, paranoid, dizzy ,
2237,sage, dry mouth, dry eyes, headache, dizzy, paranoid 
2238,sage walker, dry mouth, dry eyes ,,,
2239,sfv dog, dry mouth, dry eyes, paranoid ,,
2240,sfv og, dry mouth, dry eyes, headache, dizzy, paranoid 
2241,sfv og kush, dry mouth, paranoid, dizzy, anxious, dry eyes 
2242,safety meeting, dry eyes, dry mouth ,,,
2243,sage n sour, dry mouth, dry eyes, paranoid, dizzy, anxious 
2244,salmon river og, dry mouth, dry eyes, anxious, headache, dizzy 
2245,santa maria, dry mouth, dry eyes, dizzy, paranoid, anxious 
2246,santa sativa, dizzy, dry eyes, anxious, dry mouth, headache 
2247,sapphire scout, anxious, dry eyes, dry mouth ,,
2248,sapphire star, dry eyes, dizzy, dry mouth, paranoid, anxious 
2249,sasquatch sap, dry mouth, anxious, dry eyes, paranoid ,
2250,satellite og, dry mouth, dry eyes, paranoid, anxious, dizzy 
2251,satori, dry mouth, dry eyes, paranoid, anxious, dizzy 
2252,saturn og, dizzy, dry mouth, dry eyes, paranoid, anxious 
2253,savage citrus sunshine, anxious, dry eyes, dry mouth, paranoid, dizzy 
2254,savants grail, dry mouth ,,,,
2255,schrom, dry mouth, headache, dry eyes ,,
2256,scooby snack, headache, dry mouth, dry eyes ,,
2257,scotts og, dry eyes, dry mouth, dizzy, anxious, headache 
2258,satori, dry mouth, dry eyes, paranoid, anxious, dizzy 
2259,saturn og, dizzy, dry mouth, dry eyes, paranoid, anxious 
2260,savage citrus sunshine, anxious, dry eyes, dry mouth, paranoid, dizzy 
2261,savants grail, dry mouth ,,,,
2262,schrom, dry mouth, headache, dry eyes ,,
2263,scooby snack, headache, dry mouth, dry eyes ,,
2264,scotts og, dry eyes, dry mouth, dizzy, anxious, headache 
2265,scouts honor, dry mouth, anxious, dizzy, paranoid ,
2266,scroopy noopers, dry mouth ,,,,
2267,seattle blue, dry mouth, dry eyes, anxious, dizzy, paranoid 
2268,seattle cough, dry mouth, dry eyes, paranoid, dizzy, headache 
2269,seattlesoda, anxious, dry mouth, paranoid ,,
2270,secret recipe, dry eyes, dry mouth, anxious, paranoid, dizzy 
2271,sensi skunk, dry eyes, dry mouth, headache, paranoid, dizzy 
2272,sensi star, dry mouth, dry eyes, dizzy, anxious, paranoid 
2273,sequoia strawberry, anxious, dizzy, dry eyes, dry mouth, paranoid 
2274,serious 6, anxious, dry eyes, dry mouth, paranoid ,
2275,serious happiness, dry mouth, dry eyes, paranoid, anxious, dizzy 
2276,sexxpot, dry mouth, dry eyes, paranoid ,,
2277,shaman, dizzy, dry eyes, dry mouth, paranoid, headache 
2278,shangri la, dry eyes, dry mouth, headache, anxious, paranoid 
2279,shark attack, dry mouth, dry eyes, paranoid, dizzy, anxious 
2280,shark bite, anxious, dizzy, dry eyes, dry mouth ,
2281,shark shock, dry mouth, dry eyes, dizzy, headache, anxious 
2282,sharks breath, dry mouth, dry eyes, dizzy, headache, paranoid 
2283,sunset sherbert, dry mouth, dry eyes, dizzy, anxious, paranoid 
2284,shiatsu kush, dry mouth, dizzy, dry eyes, paranoid, anxious 
2285,shining silver haze, dry mouth, dry eyes ,,,
2286,shipwreck, dry mouth, dry eyes, dizzy, paranoid, anxious 
2287,shishkaberry, dry mouth, dry eyes, dizzy, headache, anxious 
2288,shiskaquine, dry mouth ,,,,
2289,shiva skunk, dry mouth, dry eyes, dizzy, paranoid, anxious 
2290,shoreline, dry mouth, dry eyes, paranoid, dizzy, headache 
2291,shurman, headache, dizzy, dry mouth ,,
2292,sidetracked, dry mouth, dry eyes ,,,
2293,sierra mist, dry mouth, dizzy, headache, dry eyes, paranoid 
2294,silver back, dry mouth, anxious, headache ,,
2295,silver bubble, dry mouth, dry eyes, headache, dizzy, paranoid 
2296,silver haze, dry mouth, dizzy, paranoid, dry eyes, anxious 
2297,silver kush, dry mouth, dry eyes, headache, anxious, dizzy 
2298,silver mountain, anxious, dry eyes, dry mouth ,,
2299,silver nina, dry mouth ,,,,
2300,silver pearl, dry mouth, dry eyes, anxious, dizzy, headache 
2301,silver surfer, paranoid, dry mouth, dizzy, dry eyes, anxious 
2302,silver train, dry mouth, dry eyes, headache, paranoid ,
