,strain,medical_1,medical_2,medical_3,medical_4,medical_5
2009,outlaw, stress, pain, headaches, inflammation, muscle spasms 
2010,p 51, pain, insomnia, stress, nausea, depression 
2011,p 91, stress, pain, depression, inflammation, fatigue 
2012,pb souffl, depression, eye pressure, headaches, inflammation, insomnia 
2013,pvc og, muscle spasms, pain, stress ,,
2014,pacific blue, stress, insomnia, pain, depression, headaches 
2015,pacific frost, cramps, depression, lack of appetite, muscle spasms, pain 
2016,pagoda, stress, inflammation, pain, depression, fatigue 
2017,pakistan valley kush, insomnia, pain, nausea, stress, lack of appetite 
2018,pakistani chitral kush, stress, pain, insomnia, depression, inflammation 
2019,palm tree cbd, stress, inflammation, pain, headaches, depression 
2020,pamelina, stress, depression, insomnia, lack of appetite, nausea 
2021,pan jam, fatigue, depression, headaches, inflammation, lack of appetite 
2022,panama punch, stress, inflammation, depression, fatigue, headaches 
2023,panama red, lack of appetite, depression, stress, fatigue, pain 
2024,panda og, stress, pain, insomnia, depression, lack of appetite 
2025,pandoras box, stress, pain, depression, headaches, nausea 
2026,papas og, stress, pain, insomnia, depression, nausea 
2027,paris og, insomnia, stress, pain, depression, inflammation 
2028,paris xxx, lack of appetite, cramps, eye pressure, fatigue, headaches 
2029,patti cake, depression, lack of appetite, stress ,,
2030,peach cobbler, depression, insomnia, lack of appetite, stress, cramps 
2031,peach crescendo f 1, cramps, depression, insomnia, lack of appetite, muscle spasms 
2032,peach puree, depression, fatigue, stress ,,
2033,peaches and cream, stress, fatigue, pain, depression, insomnia 
2034,peachy mack, headaches, lack of appetite, nausea ,,
2035,pearl scout cookies, eye pressure, headaches, stress, lack of appetite, spasticity 
2036,peles fire og, cramps, headaches, lack of appetite, muscle spasms, pain 
2037,pennywise, stress, pain, depression, lack of appetite, insomnia 
2038,peppermint cookies, stress, depression, lack of appetite, pain, nausea 
2039,perfect purple, depression, pain, stress ,,
2040,permafrost, stress, depression, pain, fatigue, lack of appetite 
2041,pestilence, insomnia, pain, spasticity, stress ,
2042,petrolia headstash, stress, depression, pain, lack of appetite, inflammation 
2043,peyote cookies, insomnia, pain, stress, muscle spasms, depression 
2044,pez, pain, insomnia, headaches, stress, lack of appetite 
2045,phantom arrow, stress, pain, headaches, inflammation, lack of appetite 
2046,phantom cookies, stress, pain, headaches, muscle spasms, cramps 
2047,phantom og, pain, insomnia, stress, depression, inflammation 
2048,phatt frutty, depression, headaches, pain, stress ,
2049,pheno 51, pain, stress, insomnia, depression, fatigue 
2050,phishhead kush, cramps, depression, headaches, insomnia, lack of appetite 
2051,pie face og, stress, pain, lack of appetite, insomnia, headaches 
2052,pie hoe, stress, insomnia, nausea, depression, inflammation 
2053,pine cone, depression, stress, fatigue, inflammation, pain 
2054,pine queen dream, headaches, depression, insomnia, pain, stress 
2055,pine tar kush, lack of appetite, pain, insomnia, depression, cramps 
2056,pineapple, stress, depression, pain, insomnia, lack of appetite 
2057,pineapple cookies, stress, pain, fatigue, headaches, eye pressure 
2058,pie hoe, stress, insomnia, nausea, depression, inflammation 
2059,pine cone, depression, stress, fatigue, inflammation, pain 
2060,pine queen dream, headaches, depression, insomnia, pain, stress 
2061,pine tar kush, lack of appetite, pain, insomnia, depression, cramps 
2062,pineapple, stress, depression, pain, insomnia, lack of appetite 
2063,pineapple cookies, stress, pain, fatigue, headaches, eye pressure 
2064,pineapple diesel, pain, inflammation, stress, depression, fatigue 
2065,pineapple dog shit, stress, depression, lack of appetite, pain, fatigue 
2066,pineapple express, depression, stress, pain, fatigue, lack of appetite 
2067,pineapple fields, pain, stress, depression, headaches, muscle spasms 
2068,pineapple haze, stress, depression, lack of appetite, fatigue, headaches 
2069,pineapple jack, stress, depression, headaches, lack of appetite, eye pressure 
2070,pineapple kush, stress, depression, pain, lack of appetite, fatigue 
2071,pineapple og, stress, depression, pain, lack of appetite, headaches 
2072,pineapple punch, stress, pain, inflammation, depression, lack of appetite 
2073,pineapple purple skunk, depression, pain, stress, fatigue, headaches 
2074,pineapple purps, inflammation, depression, eye pressure, fatigue, headaches 
2075,pineapple sage, stress, headaches, eye pressure, fatigue, cramps 
2076,pineapple skunk, pain, stress, depression, inflammation, muscle spasms 
2077,pineapple super silver haze, stress, depression, fatigue, lack of appetite, nausea 
2078,pineapple thai, stress, depression, fatigue, pain, insomnia 
2079,pineapple trainwreck, pain, stress, depression, fatigue, headaches 
2080,pineapple upside down cake, stress, pain, depression, headaches, muscle spasms 
2081,pineberry, stress, fatigue, headaches, pain, depression 
2082,pinewarp, depression, fatigue, pain, stress ,
2083,pink berry, stress, eye pressure, depression, fatigue, headaches 
2084,pink bubba, stress, insomnia, eye pressure, pain, muscle spasms 
2085,pink champagne, stress, headaches, depression, pain, insomnia 
2086,pink cookies, insomnia, depression, stress, pain, nausea 
2087,pink death star, lack of appetite, insomnia, pain, stress, depression 
2088,pink hawaiian, depression, stress, fatigue, cramps, eye pressure 
2089,pink kush, stress, pain, insomnia, depression, lack of appetite 
2090,pink lemonade, stress, depression, fatigue, eye pressure, headaches 
2091,pink mango, stress, depression, pain, headaches, lack of appetite 
2092,pink panther, stress, depression, lack of appetite, pain, insomnia 
2093,pink panties, insomnia, pain, stress, inflammation, depression 
2094,pink pez, stress, depression, pain, insomnia, cramps 
2095,pink starburst, stress, depression, nausea, lack of appetite, pain 
2096,pink sunset, insomnia, stress, inflammation, lack of appetite, depression 
2097,pinkman goo, insomnia, cramps, seizures, fatigue, pain 
2098,pinot green, depression, inflammation, lack of appetite, nausea, pain 
2099,pitbull, stress, depression, headaches, pain, insomnia 
2100,pia collision, depression, eye pressure, insomnia, nausea, pain 
2101,placenta, headaches, inflammation, muscle spasms ,,
2102,platinum bubba kush, stress, pain, depression, lack of appetite, insomnia 
2103,platinum calyx, cramps, inflammation, nausea, pain ,
2104,platinum gsc, stress, pain, depression, lack of appetite, insomnia 
2105,platinum huckleberry cookies, headaches, stress, pain, insomnia, depression 
2106,platinum kush, stress, pain, insomnia, depression, lack of appetite 
2107,platinum og, stress, insomnia, depression, pain, headaches 
2108,pia collision, depression, eye pressure, insomnia, nausea, pain 
2109,placenta, headaches, inflammation, muscle spasms ,,
2110,platinum bubba kush, stress, pain, depression, lack of appetite, insomnia 
2111,platinum calyx, cramps, inflammation, nausea, pain ,
2112,platinum gsc, stress, pain, depression, lack of appetite, insomnia 
2113,platinum huckleberry cookies, headaches, stress, pain, insomnia, depression 
2114,platinum kush, stress, pain, insomnia, depression, lack of appetite 
2115,platinum og, stress, insomnia, depression, pain, headaches 
2116,platinum purple kush, stress, insomnia, pain, fatigue, muscle spasms 
2117,platinum sour diesel, depression, pain, stress, eye pressure, muscle spasms 
2118,platinum wreck, pain, stress, depression, fatigue, muscle spasms 
2119,plushberry, stress, insomnia, pain, muscle spasms, depression 
2120,pluto kush, pain, stress, insomnia, depression, nausea 
2121,poison haze, depression, insomnia, stress, nausea, pain 
2122,pokie, headaches, cramps, pain, fatigue, stress 
2123,poochie love, depression, stress ,,,
2124,pop rox, insomnia, lack of appetite, muscle spasms, fatigue, depression 
2125,popcorn kush, insomnia, pain, stress, nausea, depression 
2126,pot of gold, stress, pain, depression, insomnia, lack of appetite 
2127,powderhound, inflammation ,,,,
2128,power kush, stress, pain, depression, insomnia, muscle spasms 
2129,power plant, pain, stress, insomnia, depression, lack of appetite 
2130,pre 98 bubba kush, pain, stress, depression, insomnia, nausea 
2131,predator pink, stress, depression, insomnia, inflammation, headaches 
2132,presidential og, pain, stress, nausea, headaches, lack of appetite 
2133,prevention, lack of appetite, depression, fatigue, headaches, inflammation 
2134,primus, stress, pain, insomnia, inflammation, muscle spasms 
2135,princess, depression, nausea ,,,
2136,princesss tiara, depression, stress, fatigue ,,
2137,professor chaos, pain, fatigue, nausea, muscle spasms, stress 
2138,project blue book, pain, stress, depression, fatigue, muscle spasms 
2139,puna buddaz, stress, pain, lack of appetite, nausea, inflammation 
2140,puna budder, stress, nausea, pain, cramps, muscle spasms 
2141,punky lion, stress, muscle spasms, depression, pain, inflammation 
2142,punto rojo tierra adentro, depression, fatigue, inflammation, nausea, pain 
2143,punxsy punch, fatigue, inflammation, pain, stress, cramps 
2144,pura vida, headaches, spasticity, cramps, depression, fatigue 
2145,pure afghan, stress, insomnia, lack of appetite, muscle spasms, fatigue 
2146,pure kush, insomnia, stress, pain, depression, nausea 
2147,pure love, pain, stress, muscle spasms, depression, headaches 
2148,pure og, pain, insomnia, inflammation, lack of appetite, depression 
2149,pure power plant, stress, depression, fatigue, lack of appetite, nausea 
2150,purple ak 47, pain, stress, muscle spasms, depression, insomnia 
2151,purple afghani, stress, insomnia, pain, depression, nausea 
2152,purple alien og, stress, insomnia, headaches, pain, depression 
2153,purple arrow, pain, stress, depression, nausea, headaches 
2154,purple aurora, muscle spasms, cramps, fatigue, headaches, inflammation 
2155,purple berry, pain, insomnia, lack of appetite, muscle spasms, inflammation 
2156,purple ak 47, pain, stress, muscle spasms, depression, insomnia 
2157,purple afghani, stress, insomnia, pain, depression, nausea 
2158,purple alien og, stress, insomnia, headaches, pain, depression 
2159,purple arrow, pain, stress, depression, nausea, headaches 
2160,purple aurora, muscle spasms, cramps, fatigue, headaches, inflammation 
2161,purple berry, pain, insomnia, lack of appetite, muscle spasms, inflammation 
2162,purple bubba, stress, pain, fatigue, nausea, cramps 
2163,purple bud, muscle spasms, stress, pain, depression, lack of appetite 
2164,purple buddha, stress, pain, depression, insomnia, headaches 
2165,purple bush, stress, depression, insomnia, lack of appetite, pain 
2166,purple candy, insomnia, stress, inflammation, pain, headaches 
2167,purple champagne, stress, depression, pain, lack of appetite, headaches 
2168,purple cheddar, pain, depression, inflammation, insomnia, stress 
2169,purple cheese, insomnia, eye pressure, pain, stress, depression 
2170,purple chemdawg, stress, pain, depression, insomnia, nausea 
2171,purple cotton candy, insomnia, pain, stress, depression, lack of appetite 
2172,purple cow, depression, stress, fatigue ,,
2173,purple crack, depression, stress, pain, lack of appetite, headaches 
2174,purple cream, stress, pain, insomnia, depression, nausea 
2175,purple diesel, stress, pain, depression, nausea, fatigue 
2176,purple dog shit, lack of appetite, stress, depression, fatigue, inflammation 
2177,purple dragon, pain, depression, stress, lack of appetite, headaches 
2178,purple dream, stress, pain, depression, inflammation, insomnia 
2179,purple elephant, stress, insomnia, depression, headaches, pain 
2180,purple frost, depression, nausea, stress, eye pressure, insomnia 
2181,purple glue, depression, lack of appetite, pain ,,
2182,purple goat, stress, depression, insomnia, pain, fatigue 
2183,purple goo, stress, pain, depression, insomnia, lack of appetite 
2184,purple gorilla, insomnia, pain, lack of appetite, stress, inflammation 
2185,purple happy rancher, insomnia, stress, pain, lack of appetite, depression 
2186,purple hashplant, stress, lack of appetite, depression, pain, nausea 
2187,purple haze, stress, depression, pain, fatigue, insomnia 
2188,purple headband, depression, stress, insomnia, pain, headaches 
2189,purple hindu kush, pain, stress, insomnia, depression, lack of appetite 
2190,purple ice, stress, depression, pain, insomnia, lack of appetite 
2191,purple jack, fatigue, inflammation, stress, depression, pain 
2192,purple killer, insomnia, pain, stress, depression, lack of appetite 
2193,purple kush, stress, pain, insomnia, depression, fatigue 
2194,purple linda, insomnia, pain, stress ,,
2195,purple martian kush, stress, pain, insomnia, depression, nausea 
2196,purple maui, depression, stress, pain, headaches, fatigue 
2197,purple monkey balls, stress, pain, depression, nausea, inflammation 
2198,purple mr nice, insomnia, pain, stress, fatigue, muscle spasms 
2199,purple nepal, depression, stress, lack of appetite, insomnia, pain 
2200,purple og kush, stress, pain, insomnia, depression, lack of appetite 
