,strain,medical_1,medical_2,medical_3,medical_4,medical_5
358,blue blood, stress, pain, inflammation, depression, muscle spasms 
359,blue boy, stress, pain, depression, muscle spasms, fatigue 
360,blue buddha, depression, fatigue, headaches, insomnia, lack of appetite 
361,blue champange, stress, depression, muscle spasms, pain, fatigue 
362,blue cheese, stress, pain, depression, insomnia, cramps 
363,blue cinex, inflammation, depression, stress, fatigue, pain 
364,blue cookies, stress, depression, insomnia, pain, lack of appetite 
365,blue crack, stress, pain, depression, lack of appetite, fatigue 
366,blue diamond, stress, depression, pain, insomnia, fatigue 
367,blue diesel, stress, depression, pain, lack of appetite, insomnia 
368,blue dot, pain, inflammation, muscle spasms, stress, depression 
369,blue dragon, stress, depression, pain, insomnia, headaches 
370,blue dream, stress, depression, pain, headaches, fatigue 
371,blue dream cbd, pain, stress, depression, insomnia, cramps 
372,blue dynamite, stress, pain, muscle spasms, insomnia, nausea 
373,blue fire, fatigue, pain, stress, depression, eye pressure 
374,blue frost, depression, pain, stress, lack of appetite, fatigue 
375,blue galaxy, depression, headaches, pain, stress ,
376,blue god, stress, pain, insomnia, inflammation, depression 
377,blue goo, stress, depression, fatigue, headaches, pain 
378,blue hash, stress, insomnia, pain, depression, fatigue 
379,blue hawaiian, stress, depression, pain, lack of appetite, headaches 
380,blue haze, headaches, pain, stress, inflammation, depression 
381,blue heron, stress, pain, depression, fatigue, headaches 
382,blue iguana, stress, depression, nausea, headaches, insomnia 
383,blue ivy, stress, depression, insomnia, pain, headaches 
384,blue j, eye pressure, fatigue, headaches, inflammation, insomnia 
385,blue jay way, stress, headaches, cramps, insomnia, pain 
386,blue kiss, headaches, lack of appetite, nausea, stress ,
387,blue knight, stress, pain, depression, insomnia, headaches 
388,blue kripple, eye pressure, headaches, insomnia, pain, lack of appetite 
389,blue kush, pain, stress, depression, insomnia, lack of appetite 
390,blue lights, pain, insomnia, stress, nausea, cramps 
391,blue magic, depression, stress, lack of appetite, pain, fatigue 
392,blue magoo, stress, pain, depression, fatigue, inflammation 
393,blue monster, insomnia, depression, pain, stress, inflammation 
394,blue moon rocks, depression, stress, insomnia, muscle spasms, spasticity 
395,blue moonshine, stress, insomnia, pain, depression, nausea 
396,blue mountain fire, depression, stress, eye pressure, fatigue, pain 
397,blue mystic, depression, stress, lack of appetite, insomnia, inflammation 
398,blue nightmare, depression, pain, nausea, insomnia, headaches 
399,blue nina, depression, fatigue, stress, inflammation, insomnia 
400,blue og, stress, nausea, lack of appetite, depression, pain 
401,blue og sherbert, depression, fatigue, headaches, nausea, stress 
402,blue ox, depression, stress, lack of appetite, fatigue, pain 
403,blue power, stress, pain, depression, lack of appetite, insomnia 
404,blue raspberry snow cone, headaches, lack of appetite, stress, depression, fatigue 
405,blue rhino, headaches, stress, depression, insomnia, fatigue 
406,blue satellite, stress, depression, pain, nausea, fatigue 
407,blue sherbert, depression, stress, insomnia, lack of appetite, fatigue 
408,blue sky, insomnia, seizures, depression, headaches, nausea 
409,blue steel, pain, stress, nausea, depression, lack of appetite 
410,blue power, stress, pain, depression, lack of appetite, insomnia 
411,blue raspberry snow cone, headaches, lack of appetite, stress, depression, fatigue 
412,blue rhino, headaches, stress, depression, insomnia, fatigue 
413,blue satellite, stress, depression, pain, nausea, fatigue 
414,blue sherbert, depression, stress, insomnia, lack of appetite, fatigue 
415,blue sky, insomnia, seizures, depression, headaches, nausea 
416,blue steel, pain, stress, nausea, depression, lack of appetite 
417,blue thai, fatigue, stress, depression, insomnia, pain 
418,blue train, stress, pain, headaches, nausea, spasticity 
419,blue treat, stress, depression, headaches, insomnia, pain 
420,blue velvet, fatigue, lack of appetite, depression, muscle spasms, pain 
421,blue venom, stress, depression, pain, insomnia, nausea 
422,blue widow, pain, depression, stress, insomnia, lack of appetite 
423,blue wolf, depression, pain, lack of appetite, nausea, stress 
424,blue wonder, depression, spasticity ,,,
425,blue wreck, stress, pain, headaches, depression, muscle spasms 
426,blue zkittlez, stress, pain, depression, inflammation, insomnia 
427,blue zombie, pain, insomnia, stress, depression, muscle spasms 
428,blueberry, stress, pain, depression, insomnia, lack of appetite 
429,blueberry ak, stress, insomnia, fatigue, lack of appetite, nausea 
430,blueberry blast, depression, pain, stress, nausea, fatigue 
431,blueberry bomb, inflammation, pain, stress, depression, muscle spasms 
432,blueberry diesel, insomnia, depression, stress, lack of appetite, pain 
433,blueberry dream, pain, stress, inflammation, fatigue, headaches 
434,blueberry essence, pain, stress, headaches, insomnia, muscle spasms 
435,blueberry haze, depression, pain, stress, insomnia, nausea 
436,blueberry headband, stress, pain, depression, lack of appetite, headaches 
437,blueberry jack, stress, depression, pain, nausea, lack of appetite 
438,blueberry kush, stress, pain, insomnia, depression, lack of appetite 
439,blueberry lambsbread, depression, stress, lack of appetite, nausea, pain 
440,blueberry muffins, stress, depression, pain, insomnia, muscle spasms 
441,blueberry og, stress, inflammation, pain, depression, headaches 
442,blueberry pancakes, stress, pain, depression, headaches, lack of appetite 
443,blueberry pie, pain, stress, insomnia, eye pressure, depression 
444,blueberry silvertip, stress, pain, depression, insomnia, lack of appetite 
445,blueberry skunk, stress, pain, depression, nausea, muscle spasms 
446,blueberry space cake, stress, pain, headaches, depression, insomnia 
447,blue train, stress, pain, headaches, nausea, spasticity 
448,blueberry triple og, depression, stress, cramps ,,
449,blueberry waltz, depression, stress ,,,
450,blueberry yum yum, stress, depression, pain, insomnia, headaches 
451,blues, muscle spasms, stress, pain, depression, inflammation 
452,blukashima, depression, fatigue, inflammation, muscle spasms, pain 
453,bluniverse, stress, depression, headaches, pain, nausea 
454,blurple, stress, depression, headaches, nausea, inflammation 
455,blush, depression, eye pressure, fatigue, lack of appetite, muscle spasms 
456,bob saget, stress, pain, depression, fatigue, lack of appetite 
457,bodega bubblegum, cramps, depression, eye pressure, headaches, inflammation 
458,bog sour grape, depression, stress ,,,
459,bogart, fatigue, stress, depression, nausea, pain 
460,bluniverse, stress, depression, headaches, pain, nausea 
461,blurple, stress, depression, headaches, nausea, inflammation 
462,blush, depression, eye pressure, fatigue, lack of appetite, muscle spasms 
463,bob saget, stress, pain, depression, fatigue, lack of appetite 
464,bodega bubblegum, cramps, depression, eye pressure, headaches, inflammation 
465,bog sour grape, depression, stress ,,,
466,bogart, fatigue, stress, depression, nausea, pain 
467,boggle gum, stress, depression, pain, insomnia, lack of appetite 
468,bona dea, insomnia, lack of appetite, pain ,,
469,booger, depression, stress, pain, fatigue, inflammation 
470,bootlegger, stress, depression, fatigue, headaches, nausea 
471,bordello, stress, pain, depression, inflammation, insomnia 
472,boss hogg, stress, depression, pain, inflammation, insomnia 
473,boss og, depression, stress, pain, headaches, fatigue 
474,boysenberry, stress, insomnia, lack of appetite, depression, fatigue 
475,brain candy, depression ,,,,
476,brains damage, stress, insomnia, lack of appetite, depression, nausea 
477,brainstorm haze, stress, pain, depression, nausea, fatigue 
478,brainwreck, stress, depression, lack of appetite, fatigue, pain 
479,brand x, pain, insomnia, stress, depression, lack of appetite 
480,brandywine, stress, pain, lack of appetite, depression, insomnia 
481,brazil amazonia, depression, stress, eye pressure, headaches, inflammation 
482,brian berry cough, depression, muscle spasms, fatigue, stress, nausea 
483,bright fire, stress, depression, pain, nausea, muscle spasms 
