,strain,parent_1,parent_2
272,blizzard bush,stardawg,
273,blockhead,sweet tooth,
274,bloodwalker,  mazar x blueberry ,  cherry pie  
275,blowfish,  g13 ,  blue dot  
276,blucifer,  conspiracy kush ,  blue dream  
277,blue afghani,  blueberry ,  afghani  
278,blue alien,  blueberry ,  alien kush  
279,blue bastard,  dj short blueberry ,  god bud  
280,blue blood,  og kush ,  blueberry  
281,blue boy,  blue dream ,  northern lights #5  
282,blue champagne,  blue dream ,  champagne kush  
283,blue cheese,  blueberry ,  uk cheese  
284,blue cinex,  blue dream ,  cinex  
285,blue bastard,  dj short blueberry ,  god bud  
286,blue blood,  og kush ,  blueberry  
287,blue boy,  blue dream ,  northern lights #5  
288,blue champagne,  blue dream ,  champagne kush  
289,blue cheese,  blueberry ,  uk cheese  
290,blue cinex,  blue dream ,  cinex  
291,blue cookies,  girl scout cookies ,  blueberry  
292,blue crack,  blue dream ,  green crack  
293,blue diesel,  blueberry ,  nyc diesel  
294,blue dot,  northern lights ,  haze  
295,blue dragon,  blueberry ,  sour diesel  
296,blue dream,  blueberry ,  haze  
297,blue dream cbd,blue dream,
298,blue dynamite,  dynamite ,  avalon  
299,blue fire,  blue dream ,  fire og  
300,blue frost,  jack frost ,  blue monster  
301,blue galaxy,  afghani ,  hashplant haze  
302,blue god,  blueberry ,  god bud  
303,blue goo,  blue dream ,  afgoo  
304,blue hash,  blueberry ,  hash plant  
305,blue hawaiian,  blueberry ,  hawaiian sativa  
306,blue haze,  blueberry ,  haze  
307,blue heron,  blue magoo ,  huckleberry  
308,blue iguana,double dutch,
309,blue j,jillybean,
310,blue jay way,og kush,
311,blue kiss,dj short blueberry,
312,blue knight,  blueberry ,  kryptonite  
313,blue kush,  blueberry ,  og kush  
314,blue lights,  blueberry ,  northern lights  
315,blue magic,blue dream,
316,blue moon rocks,bog bubble,
317,blue moonshine,  thai ,  afghani  
318,blue mountain fire,jamaican,
319,blue mystic,  blueberry ,  northern lights  
320,blue nightmare,  blue dream ,  tahoe og kush  
321,blue nina,blue dream,
322,blue og sherbert,  fire og ,  blue sherbert  
323,blue ox,  blueberry ,  the ox  
324,blue raspberry snow cone,blue diesel,
325,blue rhino,  blueberry ,  white rhino  
326,blue satellite,shishkaberry,
327,blue sherbert,  blue cookies ,  sherbert  
328,blue sky,  lsd ,  rocky mountain blueberry  
329,blue steel,  blueberry og ,  starfighter  
