,strain,flavor_1,flavor_2,flavor_3
2328,ripped bubba, 1. earthy, 2. citrus, 3. lemon 
2329,rise n shine, 1. citrus, 2. mango, 3. berry 
2330,road dawg, 1. diesel, 2. chemical, 3. ammonia 
2331,rob ford kush, 1. lemon, 2. strawberry, 3. sweet 
2332,robert plant, 1. earthy, 2. woody, 3. pine 
2333,rockbud, 1. skunk, 2. pungent, 3. blue cheese 
2334,rocket fuel, 1. diesel, 2. earthy, 3. woody 
2335,rocklock, 1. sweet, 2. woody, 3. earthy 
2336,rockstar, 1. earthy, 2. woody, 3. diesel 
2337,rockstar kush, 1. earthy, 2. skunk, 3. woody 
2338,rockstar master kush, 1. earthy, 2. pine, 3. sweet 
2339,rocky dennis, 1. earthy, 2. citrus, 3. flowery 
2340,rocky mountain blueberry, 1. blueberry, 2. berry, 3. sweet 
2341,rocky mountain high, 1. earthy, 2. skunk, 3. citrus 
2342,rocket fuel, 1. diesel, 2. earthy, 3. woody 
2343,rocklock, 1. sweet, 2. woody, 3. earthy 
2344,rockstar, 1. earthy, 2. woody, 3. diesel 
2345,rockstar kush, 1. earthy, 2. skunk, 3. woody 
2346,rockstar master kush, 1. earthy, 2. pine, 3. sweet 
2347,rocky dennis, 1. earthy, 2. citrus, 3. flowery 
2348,rocky mountain blueberry, 1. blueberry, 2. berry, 3. sweet 
2349,rocky mountain high, 1. earthy, 2. skunk, 3. citrus 
2350,rollex og kush, 1. earthy, 2. sweet, 3. pine 
2351,rolls choice, 1. diesel, 2. pungent, 3. earthy 
2352,romping goddess, 1. earthy, 2. pine, 3. tree fruit 
2353,romulan, 1. earthy, 2. pine, 3. sweet 
2354,romulan grapefruit, 1. grapefruit, 2. citrus, 3. earthy 
2355,romulan haze, 1. pungent, 2. citrus, 3. skunk 
2356,root beer kush, 1. vanilla, 2. berry, 3. sweet 
2357,rose bud, 1. peach, 2. rose, 3. flowery 
2358,royal chemdawg, 1. lemon, 2. citrus, 3. diesel 
2359,royal dwarf, 1. pine, 2. skunk, 3. lemon 
2360,royal haze, 1. citrus, 2. woody, 3. earthy 
2361,royal highness, 1. sweet, 2. pineapple, 3. diesel 
2362,royal kush, 1. earthy, 2. skunk, 3. tree fruit 
2363,royal tree sherbet, 1. tropical, 2. berry, 3. earthy 
2364,roz, 1. lemon, 2. lime, 3. orange 
2365,rubicon, 1. flowery, 2. sage, 3. pungent 
2366,rudeboi og, 1. pine, 2. pungent, 3. sweet 
2367,rug burn og, 1. earthy, 2. citrus, 3. diesel 
2368,russian assassin, 1. earthy, 2. diesel, 3. woody 
2369,russian doll, 1. tree fruit, 2. flowery, 3. rose 
2370,russian rocket fuel, 1. diesel, 2. earthy, 3. spicy/herbal 
2371,russian roulette, 1. earthy, 2. skunk ,
2372,sage, 1. sage, 2. woody, 3. flowery 
2373,sage walker, 1. menthol, 2. sage ,
2374,sfv dog, 1. pine, 2. woody, 3. diesel 
2375,sfv og, 1. earthy, 2. pungent, 3. lemon 
2376,sfv og kush, 1. earthy, 2. pine, 3. lemon 
2377,safety meeting, 1. berry, 2. flowery, 3. skunk 
2378,sage n sour, 1. sage, 2. earthy, 3. spicy/herbal 
2379,salmon river og, 1. berry, 2. spicy/herbal, 3. flowery 
2380,santa maria, 1. sweet, 2. grapefruit, 3. earthy 
2381,santa sativa, 1. blueberry, 2. berry, 3. earthy 
2382,sapphire scout, 1. sweet, 2. berry, 3. blueberry 
2383,sapphire star, 1. grape, 2. lavender, 3. blueberry 
2384,sasquatch sap, 1. sage, 2. skunk, 3. pine 
2385,satellite og, 1. pungent, 2. earthy, 3. sweet 
2386,satori, 1. woody, 2. earthy, 3. citrus 
2387,satsuma, 1. apricot, 2. berry, 3. flowery 
2388,saturn og, 1. earthy, 2. pungent, 3. citrus 
2389,savage citrus sunshine, 1. chemical, 2. citrus, 3. earthy 
2390,savants grail, 1. chemical, 2. earthy, 3. flowery 
2391,schrom, 1. lemon, 2. citrus, 3. lime 
2392,scooby snack, 1. sweet, 2. earthy, 3. pine 
2393,scotts og, 1. earthy, 2. lemon, 3. pungent 
2394,satori, 1. woody, 2. earthy, 3. citrus 
2395,satsuma, 1. apricot, 2. berry, 3. flowery 
2396,saturn og, 1. earthy, 2. pungent, 3. citrus 
2397,savage citrus sunshine, 1. chemical, 2. citrus, 3. earthy 
2398,savants grail, 1. chemical, 2. earthy, 3. flowery 
2399,schrom, 1. lemon, 2. citrus, 3. lime 
2400,scooby snack, 1. sweet, 2. earthy, 3. pine 
2401,scotts og, 1. earthy, 2. lemon, 3. pungent 
2402,scouts honor, 1. earthy, 2. pungent, 3. flowery 
2403,scroopy noopers, 1. coffee, 2. pungent, 3. butter 
2404,seattle blue, 1. sweet, 2. flowery, 3. berry 
2405,seattle cough, 1. pine, 2. citrus, 3. grapefruit 
2406,seattle summer, 1. butter, 2. orange, 3. sweet 
2407,seattlesoda, 1. earthy, 2. berry, 3. blueberry 
2408,secret garden og, 1. flowery, 2. honey, 3. lavender 
2409,secret recipe, 1. earthy, 2. diesel, 3. sweet 
2410,sensi skunk, 1. citrus, 2. skunk, 3. earthy 
2411,sensi star, 1. earthy, 2. sweet, 3. pungent 
2412,sequoia strawberry, 1. sweet, 2. berry, 3. strawberry 
2413,serious 6, 1. woody, 2. spicy/herbal, 3. chemical 
2414,serious happiness, 1. sweet, 2. pepper, 3. earthy 
2415,sexxpot, 1. coffee, 2. pungent, 3. earthy 
2416,shaman, 1. sweet, 2. flowery, 3. earthy 
2417,shangri la, 1. earthy, 2. woody, 3. citrus 
2418,shark attack, 1. earthy, 2. spicy/herbal, 3. pungent 
2419,shark bite, 1. pungent, 2. tropical, 3. sweet 
2420,shark shock, 1. earthy, 2. woody, 3. sweet 
2421,sharks breath, 1. pungent, 2. skunk, 3. earthy 
2422,sunset sherbert, 1. sweet, 2. citrus, 3. berry 
2423,shiatsu kush, 1. sweet, 2. earthy, 3. nutty 
2424,shining silver haze, 1. pine, 2. citrus, 3. apple 
2425,shipwreck, 1. skunk, 2. sweet, 3. earthy 
2426,shishkaberry, 1. berry, 2. sweet, 3. earthy 
2427,shiskaquine, 1. berry, 2. earthy, 3. sweet 
2428,shiva skunk, 1. skunk, 2. woody, 3. berry 
2429,shoreline, 1. sweet, 2. earthy, 3. woody 
2430,shurman, 1. earthy, 2. pine, 3. pungent 
2431,sidetracked, 1. earthy, 2. chemical, 3. pungent 
2432,sierra mist, 1. citrus, 2. butter, 3. diesel 
2433,silver back, 1. earthy, 2. pine, 3. sweet 
2434,silver bubble, 1. flowery, 2. earthy, 3. sweet 
2435,silver calyx, 1. lemon, 2. pine, 3. tree fruit 
2436,silver haze, 1. earthy, 2. sweet, 3. woody 
2437,silver kush, 1. earthy, 2. citrus, 3. woody 
2438,silver mountain, 1. citrus, 2. mint, 3. flowery 
2439,silver pearl, 1. skunk, 2. honey, 3. citrus 
2440,silver surfer, 1. spicy/herbal, 2. sweet, 3. citrus 
2441,silver train, 1. pine, 2. spicy/herbal, 3. sweet 
2442,silverback gorilla, 1. earthy, 2. pungent, 3. berry 
2443,silverfalls kush, 1. sweet, 2. spicy/herbal, 3. strawberry 
2444,silverhawks og, 1. earthy, 2. citrus, 3. diesel 
2445,silver mountain, 1. citrus, 2. mint, 3. flowery 
2446,silver pearl, 1. skunk, 2. honey, 3. citrus 
2447,silver surfer, 1. spicy/herbal, 2. sweet, 3. citrus 
2448,silver train, 1. pine, 2. spicy/herbal, 3. sweet 
2449,silverback gorilla, 1. earthy, 2. pungent, 3. berry 
2450,silverfalls kush, 1. sweet, 2. spicy/herbal, 3. strawberry 
2451,silverhawks og, 1. earthy, 2. citrus, 3. diesel 
2452,sin city kush, 1. grape, 2. pine, 3. sweet 
2453,sin valley og, 1. earthy, 2. lemon, 3. citrus 
2454,sinmint cookies, 1. mint, 2. earthy, 3. pungent 
2455,sinai, 1. menthol, 2. pepper, 3. spicy/herbal 
2456,sirius black, 1. grape, 2. blueberry, 3. lavender 
2457,sister glue, 1. earthy, 2. pine, 3. pungent 
2458,six shooter, 1. skunk, 2. sweet, 3. citrus 
2459,sizzurp, 1. pungent, 2. tropical, 3. earthy 
2460,skins skunk, 1. lemon, 2. strawberry, 3. sweet 
2461,skunk 47, 1. earthy, 2. skunk, 3. pungent 
2462,skunk dawg, 1. skunk, 2. earthy, 3. sweet 
2463,skunk haze, 1. spicy/herbal, 2. vanilla, 3. butter 
2464,skunk 1, 1. pungent, 2. skunk, 3. earthy 
2465,skunk plus, 1. woody, 2. earthy, 3. spicy/herbal 
2466,skunkberry, 1. skunk, 2. berry, 3. blueberry 
2467,skunky diesel, 1. skunk, 2. diesel, 3. earthy 
2468,sky lotus, 1. woody, 2. earthy, 3. lemon 
2469,sky master, 1. blueberry, 2. flowery, 3. cheese 
2470,skydog, 1. earthy, 2. lemon, 3. sweet 
2471,skywalker alien, 1. citrus, 2. earthy, 3. woody 
2472,slazerbeam, 1. earthy, 2. lemon, 3. skunk 
2473,sleeskunk, 1. skunk, 2. pine, 3. spicy/herbal 
2474,sleestack, 1. diesel, 2. earthy, 3. citrus 
2475,slice of heaven, 1. berry, 2. skunk, 3. tropical 
2476,slimer og, 1. citrus, 2. earthy, 3. pine 
2477,smelliot, 1. citrus, 2. pungent, 3. sweet 
2478,smooth operator, 1. earthy, 2. flowery, 3. pungent 
2479,snoop dogg og, 1. chemical, 2. lemon, 3. pungent 
2480,snoop s dream, 1. sweet, 2. woody, 3. berry 
2481,snow bud, 1. earthy, 2. pine, 3. skunk 
2482,snow diesel, 1. diesel, 2. pungent, 3. sweet 
2483,snow goddess, 1. woody, 2. pine, 3. sweet 
2484,snow leopard, 1. earthy, 2. woody, 3. pine 
2485,snow lotus, 1. earthy, 2. lemon, 3. chemical 
2486,snow monster, 1. earthy, 2. sweet, 3. blue cheese 
2487,snow mountain, 1. flowery ,,
2488,snow ryder, 1. earthy, 2. mint, 3. pepper 
2489,snow white, 1. earthy, 2. woody, 3. sweet 
2490,snowland, 1. lemon, 2. earthy, 3. woody 
2491,snowcap, 1. lemon, 2. citrus, 3. earthy 
2492,sojay haze, 1. citrus, 2. flowery, 3. lemon 
2493,somango, 1. mango, 2. sweet, 3. tropical 
2494,sonic screwdriver, 1. citrus, 2. spicy/herbal, 3. pungent 
2495,sonoma coma, 1. citrus, 2. tropical, 3. earthy 
2496,snowcap, 1. lemon, 2. citrus, 3. earthy 
2497,sojay haze, 1. citrus, 2. flowery, 3. lemon 
2498,somango, 1. mango, 2. sweet, 3. tropical 
2499,sonic screwdriver, 1. citrus, 2. spicy/herbal, 3. pungent 
2500,sonoma coma, 1. citrus, 2. tropical, 3. earthy 
2501,sorbetto, 1. lemon, 2. diesel, 3. flowery 
2502,sorcerers apprentice, 1. sweet, 2. tropical ,
2503,soul assassin og, 1. flowery, 2. citrus, 3. spicy/herbal 
2504,soulshine aloha, 1. earthy, 2. sweet, 3. nutty 
2505,sour alien, 1. diesel, 2. pungent, 3. earthy 
2506,sour amnesia, 1. diesel, 2. citrus, 3. sweet 
2507,sour ape, 1. diesel, 2. sweet, 3. grape 
2508,sour apple, 1. apple, 2. sweet, 3. earthy 
2509,sour banana sherbet, 1. sweet, 2. diesel, 3. earthy 
2510,sour blueberry, 1. berry, 2. blueberry, 3. pine 
2511,sour breath, 1. pine, 2. earthy, 3. woody 
2512,sour bubba, 1. spicy/herbal, 2. diesel, 3. sweet 
2513,sour bubble, 1. sweet, 2. earthy, 3. pungent 
2514,sour candy, 1. sweet, 2. earthy, 3. pine 
2515,sour chees, 1. cheese, 2. diesel, 3. skunk 
2516,sour cherry sherbert, 1. lemon, 2. sweet, 3. diesel 
2517,sour chocolate, 1. diesel, 2. earthy, 3. sweet 
2518,sour chunk, 1. sweet, 2. earthy, 3. berry 
2519,sour cookies, 1. diesel, 2. berry, 3. grape 
2520,sour cream, 1. diesel, 2. earthy, 3. sweet 
2521,sour diesel, 1. diesel, 2. earthy, 3. pungent 
2522,sour dream, 1. skunk, 2. berry, 3. woody 
2523,sour dubble, 1. diesel, 2. woody, 3. spicy/herbal 
2524,sour flower, 1. earthy, 2. skunk, 3. citrus 
2525,sour grape, 1. grape, 2. earthy, 3. sweet 
2526,sour haze, 1. citrus, 2. earthy, 3. diesel 
2527,sour headband, 1. diesel, 2. pungent, 3. citrus 
2528,sour jack, 1. citrus, 2. diesel, 3. lemon 
2529,sour jilly, 1. berry, 2. tropical, 3. sweet 
2530,sour joker, 1. citrus, 2. diesel, 3. sweet 
2531,sour kush, 1. diesel, 2. earthy, 3. pungent 
2532,sour lsd, 1. pungent, 2. skunk, 3. chemical 
2533,sour lemon og, 1. lemon, 2. citrus, 3. lime 
2534,sour maui, 1. pineapple, 2. citrus, 3. tropical 
2535,sour og, 1. earthy, 2. diesel, 3. pungent 
2536,sour patch kiss, 1. citrus, 2. sweet, 3. strawberry 
2537,sour pebbles, 1. berry, 2. sweet, 3. earthy 
2538,sour poison, 1. citrus, 2. diesel, 3. grapefruit 
2539,sour power, 1. earthy, 2. citrus, 3. sweet 
2540,sour power og, 1. earthy, 2. lemon, 3. ammonia 
2541,sour maui, 1. pineapple, 2. citrus, 3. tropical 
2542,sour og, 1. earthy, 2. diesel, 3. pungent 
2543,sour patch kiss, 1. citrus, 2. sweet, 3. strawberry 
2544,sour pebbles, 1. berry, 2. sweet, 3. earthy 
2545,sour poison, 1. citrus, 2. diesel, 3. grapefruit 
2546,sour power, 1. earthy, 2. citrus, 3. sweet 
2547,sour power og, 1. earthy, 2. lemon, 3. ammonia 
2548,sour space candy, 1. citrus, 2. diesel, 3. earthy 
2549,sour spyder, 1. lemon, 2. earthy, 3. pungent 
2550,sour star head, 1. sweet, 2. citrus, 3. tropical 
2551,sour strawberry, 1. earthy, 2. strawberry, 3. diesel 
2552,sour strawberry diesel, 1. strawberry, 2. diesel, 3. sweet 
2553,sour sunset, 1. sweet, 2. berry, 3. grapefruit 
2554,sour tangie, 1. citrus, 2. orange, 3. diesel 
2555,sour tsunami, 1. citrus, 2. diesel, 3. earthy 
2556,sour urkle, 1. citrus, 2. berry, 3. diesel 
2557,sour willie, 1. pungent, 2. citrus, 3. sweet 
2558,sourlope, 1. sweet, 2. tropical, 3. pungent 
2559,south american, 1. earthy, 2. woody, 3. ammonia 
2560,south asian, 1. sweet ,,
2561,south asian sativa, 1. diesel, 2. earthy ,
2562,south central la, 1. sweet, 2. berry, 3. blueberry 
2563,south indian, 1. skunk, 2. earthy, 3. mango 
2564,southern lights, 1. lemon, 2. pungent ,
2565,space bomb, 1. citrus, 2. diesel, 3. woody 
2566,space cake, 1. nutty, 2. spicy/herbal, 3. berry 
2567,space candy, 1. sweet, 2. earthy, 3. apple 
2568,space cream, 1. sweet, 2. citrus, 3. earthy 
2569,space dawg, 1. pine, 2. spicy/herbal, 3. tobacco 
2570,space monster, 1. chemical, 2. pear, 3. ammonia 
2571,space needle, 1. pungent, 2. pine, 3. chemical 
2572,space queen, 1. sweet, 2. earthy, 3. flowery 
2573,special k, 1. flowery, 2. earthy, 3. sweet 
2574,special kush 1, 1. earthy, 2. woody, 3. sweet 
2575,special sauce, 1. sweet, 2. earthy, 3. flowery 
2576,spicy disco, 1. citrus, 2. earthy, 3. spicy/herbal 
2577,spiked punch, 1. grape, 2. mango, 3. sweet 
2578,spirit of 76, 1. flowery, 2. earthy, 3. pine 
2579,spliffs strawberry, 1. berry, 2. strawberry, 3. sweet 
2580,spoetnik 1, 1. pine, 2. sage, 3. woody 
2581,spumoni, 1. sweet ,,
2582,sputnik, 1. flowery, 2. sweet, 3. tea 
2583,spyder mon, 1. citrus, 2. earthy, 3. flowery 
2584,star 47, 1. earthy, 2. berry, 3. citrus 
2585,star berry, 1. berry, 2. citrus, 3. sweet 
2586,star killer, 1. earthy, 2. citrus, 3. sweet 
2587,star master kush, 1. pungent, 2. earthy, 3. citrus 
2588,star pupil, 1. skunk, 2. lime, 3. pine 
2589,star tonic, 1. woody, 2. earthy, 3. lavender 
2590,starbud, 1. menthol, 2. earthy, 3. chemical 
2591,stardawg, 1. earthy, 2. diesel, 3. pine 
2592,stardawg 91, 1. diesel, 2. chemical, 3. chestnut 
2593,star berry, 1. berry, 2. citrus, 3. sweet 
2594,star killer, 1. earthy, 2. citrus, 3. sweet 
2595,star master kush, 1. pungent, 2. earthy, 3. citrus 
2596,star pupil, 1. skunk, 2. lime, 3. pine 
2597,star tonic, 1. woody, 2. earthy, 3. lavender 
2598,starbud, 1. menthol, 2. earthy, 3. chemical 
2599,stardawg, 1. earthy, 2. diesel, 3. pine 
2600,stardawg 91, 1. diesel, 2. chemical, 3. chestnut 
2601,stardawg guava, 1. tropical, 2. flowery, 3. pungent 
2602,starfighter, 1. sweet, 2. citrus, 3. flowery 
2603,starman, 1. spicy/herbal ,,
2604,starry night, 1. tropical, 2. pungent, 3. cheese 
2605,stella blue, 1. blueberry, 2. pungent, 3. pine 
2606,stephen hawking kush, 1. earthy, 2. woody, 3. mint 
2607,stevie wonder, 1. earthy, 2. pine, 3. flowery 
2608,stinky pete, 1. earthy, 2. pungent, 3. woody 
2609,straight as haze, 1. sweet, 2. pungent, 3. citrus 
2610,strawberry, 1. strawberry, 2. berry, 3. sweet 
2611,strawberry alien kush, 1. strawberry, 2. citrus, 3. earthy 
2612,strawberry amnesia, 1. strawberry, 2. flowery, 3. sweet 
2613,strawberry banana, 1. strawberry, 2. sweet, 3. berry 
2614,strawberry blonde, 1. lemon, 2. flowery, 3. strawberry 
2615,strawberry blondie, 1. strawberry, 2. sweet, 3. tropical 
2616,strawberry blue, 1. berry, 2. sweet, 3. tropical 
2617,strawberry cheesecake, 1. strawberry, 2. sweet, 3. cheese 
2618,strawberry cough, 1. strawberry, 2. sweet, 3. berry 
2619,strawberry diesel, 1. diesel, 2. strawberry, 3. sweet 
2620,strawberry dream, 1. sweet, 2. strawberry, 3. berry 
2621,strawberry durban diesel, 1. strawberry, 2. diesel, 3. sweet 
2622,strawberry fields, 1. strawberry, 2. sweet, 3. berry 
2623,strawberry frost, 1. sweet, 2. strawberry, 3. vanilla 
2624,strawberry ice, 1. strawberry, 2. sweet, 3. earthy 
2625,strawberry kush, 1. strawberry, 2. sweet, 3. earthy 
2626,strawberry lemonade, 1. lemon, 2. strawberry, 3. rose 
2627,strawberry milkshake, 1. strawberry, 2. sweet, 3. berry 
2628,strawberry og, 1. strawberry, 2. diesel, 3. flowery 
2629,strawberry satori, 1. strawberry, 2. sweet, 3. grape 
2630,strawberry shortcake, 1. strawberry, 2. sweet, 3. flowery 
2631,strawberry snow cone, 1. strawberry, 2. diesel, 3. pungent 
2632,sublime, 1. spicy/herbal, 2. woody, 3. pine 
2633,sugar black rose, 1. earthy, 2. flowery, 3. rose 
2634,sugar cookie, 1. vanilla, 2. sweet, 3. skunk 
2635,sugar kush, 1. sweet, 2. earthy, 3. woody 
2636,sugar mama, 1. sweet, 2. grapefruit, 3. pungent 
2637,sugar pine, 1. citrus, 2. pine, 3. sweet 
2638,sugar plum, 1. berry, 2. earthy, 3. sweet 
2639,joliet jake, 1. earthy, 2. sweet, 3. flowery 
2640,sugar punch, 1. lemon, 2. sweet, 3. berry 
2641,sugar cookie, 1. vanilla, 2. sweet, 3. skunk 
2642,sugar kush, 1. sweet, 2. earthy, 3. woody 
2643,sugar mama, 1. sweet, 2. grapefruit, 3. pungent 
2644,sugar pine, 1. citrus, 2. pine, 3. sweet 
2645,sugar plum, 1. berry, 2. earthy, 3. sweet 
2646,joliet jake, 1. earthy, 2. sweet, 3. flowery 
2647,sugar punch, 1. lemon, 2. sweet, 3. berry 
2648,sugar shack, 1. sweet, 2. pine, 3. woody 
2649,suicide girl, 1. violet, 2. citrus, 3. sweet 
2650,summer breeze, 1. flowery, 2. citrus, 3. diesel 
2651,summertime squeeze, 1. earthy, 2. tea, 3. flowery 
2652,sumo grande, 1. citrus, 2. pine, 3. sweet 
2653,sumo og kush, 1. earthy, 2. pine, 3. diesel 
2654,sun ra, 1. tropical, 2. orange, 3. citrus 
2655,sunburn, 1. citrus, 2. lemon, 3. sweet 
2656,sundae driver, 1. berry, 2. diesel, 3. grape 
2657,sunny d, 1. citrus, 2. orange, 3. lemon 
2658,sunset, 1. spicy/herbal, 2. earthy, 3. pungent 
2659,sunset haze, 1. citrus, 2. flowery, 3. sweet 
2660,sunshine, 1. sweet, 2. tree fruit, 3. citrus 
2661,sunshine 4, 1. citrus, 2. lemon, 3. tropical 
2662,sunshine daydream, 1. earthy, 2. berry, 3. sweet 
2663,supa don, 1. apricot, 2. flowery, 3. spicy/herbal 
2664,super chronic, 1. earthy, 2. diesel, 3. sweet 
2665,super blue dream, 1. tea, 2. pineapple, 3. berry 
2666,super bud, 1. citrus, 2. flowery, 3. chemical 
2667,super cat piss, 1. coffee, 2. lemon ,
2668,super cheese, 1. woody, 2. cheese, 3. earthy 
2669,super g, 1. earthy, 2. pine, 3. pungent 
2670,super glu, 1. earthy, 2. coffee, 3. diesel 
2671,super green crack, 1. citrus, 2. earthy, 3. apple 
2672,super jack, 1. earthy, 2. sweet, 3. pungent 
2673,super kush, 1. earthy, 2. mint, 3. pungent 
2674,super lemon haze, 1. lemon, 2. citrus, 3. sweet 
2675,super lemon og, 1. lemon, 2. citrus, 3. diesel 
2676,super silver hash plant, 1. earthy, 2. sweet ,
2677,super silver haze, 1. citrus, 2. earthy, 3. sweet 
2678,super silver lights, 1. sweet, 2. pine, 3. flowery 
2679,super snow dog, 1. citrus, 2. earthy, 3. lemon 
2680,super snow lotus, 1. earthy, 2. chemical, 3. citrus 
2681,super sour diesel, 1. diesel, 2. citrus, 3. pungent 
2682,super sour lemon, 1. lemon, 2. earthy, 3. orange 
2683,super sour og, 1. blueberry, 2. citrus, 3. diesel 
2684,super sour skunk, 1. flowery, 2. spicy/herbal, 3. citrus 
2685,super sour widow, 1. sweet, 2. spicy/herbal, 3. citrus 
2686,super sweet, 1. sweet, 2. flowery, 3. honey 
2687,supergirl, 1. earthy, 2. spicy/herbal, 3. pine 
2688,superglue, 1. earthy, 2. pine, 3. pungent 
2689,superman og, 1. skunk, 2. woody, 3. earthy 
2690,supermax og, 1. citrus, 2. pine, 3. flowery 
2691,supernatural, 1. citrus, 2. earthy, 3. flowery 
2692,super sour skunk, 1. flowery, 2. spicy/herbal, 3. citrus 
2693,super sour widow, 1. sweet, 2. spicy/herbal, 3. citrus 
2694,super sweet, 1. sweet, 2. flowery, 3. honey 
2695,supergirl, 1. earthy, 2. spicy/herbal, 3. pine 
2696,superglue, 1. earthy, 2. pine, 3. pungent 
2697,superman og, 1. skunk, 2. woody, 3. earthy 
2698,supermax og, 1. citrus, 2. pine, 3. flowery 
2699,supernatural, 1. citrus, 2. earthy, 3. flowery 
2700,supernova, 1. citrus, 2. earthy, 3. sweet 
2701,superstar, 1. citrus, 2. earthy, 3. flowery 
2702,suver haze, 1. citrus, 2. earthy, 3. sweet 
2703,suzy q, 1. earthy, 2. pine, 3. spicy/herbal 
2704,swazi gold, 1. earthy, 2. spicy/herbal, 3. citrus 
2705,sweet  sour cindy, 1. citrus, 2. diesel, 3. lemon 
2706,sweet amnesia haze, 1. earthy, 2. sweet, 3. woody 
2707,sweet baby jane, 1. sage, 2. citrus, 3. sweet 
2708,sweet berry, 1. berry, 2. sweet, 3. blueberry 
2709,sweet black angel, 1. berry, 2. sweet, 3. pine 
2710,sweet cheese, 1. cheese, 2. sweet, 3. pungent 
2711,sweet deep grapefruit, 1. citrus, 2. sweet, 3. berry 
2712,sweet diesel, 1. diesel, 2. sweet, 3. earthy 
2713,sweet dream, 1. earthy, 2. berry, 3. chemical 
2714,sweet dreams, 1. skunk, 2. pungent, 3. sweet 
2715,sweet dreams b44e9f5d217a4d5eba9365ffa0047a94, 1. ammonia, 2. berry, 3. chemical 
2716,sweet harlem diesel, 1. pear, 2. citrus, 3. diesel 
2717,sweet hawaiian tangie banana, 1. citrus, 2. sweet, 3. tropical 
2718,sweet jane, 1. rose, 2. citrus, 3. sweet 
2719,sweet jesus, 1. tropical ,,
2720,sweet kush, 1. sweet, 2. lemon, 3. pine 
2721,sweet lafayette, 1. chestnut, 2. earthy, 3. pine 
2722,sweet nina, 1. diesel, 2. skunk, 3. tar 
2723,sweet pebbles, 1. sweet, 2. berry, 3. citrus 
2724,sweet pure cbd, 1. berry, 2. blueberry, 3. sweet 
2725,sweet skunk, 1. citrus, 2. earthy, 3. lemon 
2726,sweet tooth, 1. sweet, 2. flowery, 3. earthy 
2727,sweet valley kush, 1. earthy, 2. sweet ,
2728,sweet and sour widow, 1. pine, 2. citrus, 3. earthy 
2729,sweeties, 1. flowery, 2. lavender, 3. spicy/herbal 
2730,swiss bliss, 1. earthy, 2. citrus, 3. grapefruit 
2731,swiss gold, 1. citrus, 2. diesel, 3. earthy 
2732,swiss, 1. pungent, 2. woody, 3. berry 
2733,swiss tsunami, 1. citrus, 2. earthy, 3. orange 
2734,thc bomb, 1. pine, 2. spicy/herbal, 3. citrus 
2735,tjs cbd, 1. earthy, 2. pine, 3. flowery 
2736,tahoe alien, 1. earthy, 2. woody, 3. pine 
2737,tahoe hydro champagne, 1. flowery, 2. butter, 3. cheese 
2738,tahoe hydro og, 1. lemon, 2. earthy, 3. diesel 
2739,tahoe purps, 1. earthy, 2. woody, 3. citrus 
2740,taliban poison, 1. diesel, 2. pine, 3. skunk 
2741,tangelo, 1. orange, 2. citrus, 3. sweet 
2742,tangelo kush, 1. peach, 2. citrus, 3. orange 
2743,tahoe hydro champagne, 1. flowery, 2. butter, 3. cheese 
2744,tahoe hydro og, 1. lemon, 2. earthy, 3. diesel 
2745,tahoe purps, 1. earthy, 2. woody, 3. citrus 
2746,taliban poison, 1. diesel, 2. pine, 3. skunk 
2747,tangelo, 1. orange, 2. citrus, 3. sweet 
2748,tangelo kush, 1. peach, 2. citrus, 3. orange 
2749,tangerine, 1. orange, 2. citrus, 3. sweet 
2750,tangerine dream, 1. citrus, 2. orange, 3. sweet 
2751,tangerine haze, 1. citrus, 2. sweet, 3. orange 
2752,tangerine kush, 1. citrus, 2. earthy, 3. sweet 
2753,tangerine man, 1. citrus, 2. orange, 3. grapefruit 
2754,tangerine power, 1. citrus, 2. apricot, 3. orange 
2755,tangerine sunrise, 1. citrus, 2. pineapple, 3. sweet 
2756,tangerine trainwreck haze, 1. citrus, 2. earthy, 3. flowery 
2757,tangie, 1. citrus, 2. orange, 3. sweet 
2758,tangie biscotti, 1. citrus, 2. sweet, 3. pungent 
2759,tangie cookies, 1. orange, 2. citrus, 3. sweet 
2760,tangie dream, 1. citrus, 2. orange, 3. sweet 
2761,tangie ghost train, 1. citrus, 2. lemon, 3. chemical 
2762,tangie sunrise, 1. citrus, 2. orange, 3. earthy 
2763,tangier chilly, 1. citrus, 2. orange, 3. pine 
2764,tangilope, 1. earthy, 2. orange, 3. citrus 
2765,tango kush, 1. citrus, 2. mango, 3. sweet 
2766,tardis, 1. sweet, 2. diesel, 3. earthy 
2767,tarmonster, 1. chemical, 2. grape, 3. lavender 
2768,tembo kush, 1. sweet, 2. berry, 3. earthy 
2769,terminator og, 1. pine, 2. sweet, 3. pungent 
2770,tesla, 1. pepper, 2. chestnut, 3. nutty 
2771,tesla tower, 1. sweet, 2. berry, 3. blueberry 
2772,thai, 1. sweet, 2. berry, 3. blueberry 
2773,thai fantasy, 1. pungent, 2. skunk, 3. sweet 
2774,thai girl, 1. sweet, 2. tropical, 3. citrus 
2775,thai haze, 1. pine, 2. citrus, 3. pepper 
2776,thai lights, 1. earthy, 2. spicy/herbal, 3. pine 
2777,thai tanic, 1. woody, 2. earthy, 3. flowery 
2778,the big dirty, 1. earthy, 2. lemon ,
2779,the black, 1. berry, 2. grape, 3. citrus 
2780,the blintz, 1. earthy, 2. lavender, 3. pungent 
