,strain,flavor_1,flavor_2,flavor_3
453,blueberry yum yum, 1. blueberry, 2. sweet, 3. mint 
454,blues, 1. berry, 2. pungent, 3. skunk 
455,bluniverse, 1. sweet, 2. citrus, 3. blueberry 
456,blurple, 1. sweet, 2. berry, 3. flowery 
457,blush, 1. earthy, 2. pepper, 3. honey 
458,bob saget, 1. pine, 2. earthy, 3. pungent 
459,bodega bubblegum, 1. sweet ,,
460,bog blue kush, 1. rose, 2. sage, 3. tar 
461,bog sour grape, 1. berry, 2. grape, 3. sage 
462,bogart, 1. citrus, 2. sweet, 3. tropical 
463,bluniverse, 1. sweet, 2. citrus, 3. blueberry 
464,blurple, 1. sweet, 2. berry, 3. flowery 
465,blush, 1. earthy, 2. pepper, 3. honey 
466,bob saget, 1. pine, 2. earthy, 3. pungent 
467,bodega bubblegum, 1. sweet ,,
468,bog blue kush, 1. rose, 2. sage, 3. tar 
469,bog sour grape, 1. berry, 2. grape, 3. sage 
470,bogart, 1. citrus, 2. sweet, 3. tropical 
471,boggle gum, 1. sweet, 2. citrus, 3. earthy 
472,bona dea, 1. earthy, 2. skunk, 3. spicy/herbal 
473,bonkers, 1. berry ,,
